category,display_name,id,source,source_id,parent_id,nlm_id,cde_steward,cde_identifiers,cde_value
04A - Medical History - Sleep Disorders,Idiopathic hypersomnia,idiopathhypersomhist,ICSD-3,Idiopathic Hypersomnia,narcolephist,,,,
04A - Medical History - Sleep Disorders,Kleine-Levin syndrome,kleinelevinhist,ICSD-3,Kleine-Levin Syndrome,narcolephist,,,,
04A - Medical History - Sleep Disorders,Hypersomnia due to a medical disorder,hypersomdisordhist,ICSD-3,Hypersomnia Due to a Medical Disorder,narcolephist,,,,
04A - Medical History - Sleep Disorders,Hypersomnia due to a medication or substance,hypersommedsubhist,ICSD-3,Hypersomnia Due to a Medication or Substance,narcolephist,,,,
04A - Medical History - Sleep Disorders,Hypersomnia associated with a psychiatric disorder,hypersompsychhist,ICSD-3,Hypersomnia Associated with a Psychiatric Disorder,narcolephist,,,,
04A - Medical History - Sleep Disorders,Insufficient sleep syndrome,insuffsleephist,ICSD-3,Insufficient Sleep Syndrome, ,,,,
04A - Medical History - Sleep Disorders,Sleep related leg cramps,sleeplegcramphist,ICSD-3,Sleep Related Leg Cramps,plmdhist,,,,
04A - Medical History - Sleep Disorders,Sleep related bruxism,sleepbruxhist,ICSD-3,Sleep Related Bruxism,,,,,
04A - Medical History - Sleep Disorders,Sleep related rhythmic movement disorder,sleeprhthymmdhist,ICSD-3,Sleep Related Rhythmic Movement Disorder,plmdhist,,,,
04A - Medical History - Sleep Disorders,Benign sleep myoclonus of infancy,sleepmyocloninfhist,ICSD-3,Benign Sleep Myoclonus of Infancy,plmdhist,,,,
04A - Medical History - Sleep Disorders,Propriospinal myoclonus at sleep onset,propmyoclonhist,ICSD-3,Propriospinal Myoclonus at Sleep Onset,plmdhist,,,,
04A - Medical History - Sleep Disorders,Sleep related movement disorder due to a medical disorder,sleepmddisordhist,ICSD-3,Sleep Related Movement Disorder Due to a Medical Disorder,plmdhist,,,,
04A - Medical History - Sleep Disorders,Sleep related movement disorder due to a medication or substance,sleepmdmedsubhist,ICSD-3,Sleep Related Movement Disorder Due to a Medication or Substance,plmdhist,,,,
04A - Medical History - Sleep Disorders,"Sleep related movement disorder, unspecified",sleepmdhist,ICSD-3,"Sleep Related Movement Disorder, Unspecified",plmdhist,,,,
05 - Medications,5-Lipoxygenase Inhibitor,5lipoxinh,FDA,,,,,,
05 - Medications,Cholinesterase Inhibitor,cholinh,FDA,,,,,,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,FDA,,,,,,
05 - Medications,alpha-Glucosidase Inhibitor,alphaglucos,FDA,,,,,,
05 - Medications,Aldosterone Receptor Blocker,aldostblocker,,,,,,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,FDA,,,,,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,FDA,,,,,,
05 - Medications,Antiarrhythmic,antiarrhyth,FDA,,,,,,
05 - Medications,Anticholinergic,antichol,FDA,,,,,,
05 - Medications,Anti-coagulant,anticoag,FDA,,,,,,
05 - Medications,Atypical Antipsychotic,atypicalantipsychot,FDA,,,,,,
05 - Medications,Benzodiazepine,benzo,FDA,,,,,,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,FDA,,,,,,
05 - Medications,beta-Adrenergic Blocker,betablocker,FDA,,,,,,
05 - Medications,Biguanide,biguanide,FDA,,,,,,
05 - Medications,Bile Acid Sequestrant,bileacidseq,FDA,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,FDA,,,,,,
05 - Medications,Cardiac Glycoside,digitalis,FDA,,,,,,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,FDA,,,,,,
05 - Medications,Corticosteroid,corticoster,FDA,,,,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,FDA,,,,,,
05 - Medications,Dipeptidyl Peptidase 4 Inhibitor,dpp4inh,FDA,,,,,,
05 - Medications,Estrogen,estrogen,FDA,,,,,,
05 - Medications,GLP-1 Receptor Agonist,glp1agonist,FDA,,,,,,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,FDA,,,,,,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,FDA,,,,,,
05 - Medications,Hypercholesterolemia,cholloweragent,FDA,,,,,,
05 - Medications,Insulin,insulin,FDA,,,,,,
05 - Medications,Insulin Analog,insulinanalog,FDA,,,,,,
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag,FDA,,,,,,
05 - Medications,Loop Diuretic,loopdiuretic,FDA,,,,,,
05 - Medications,Low Molecular Weight Heparin,lmwheparin,FDA,,,,,,
05 - Medications,l-Thyroxine,thyroxine,FDA,,,,,,
05 - Medications,l-Triiodothyronine,triiodothy,FDA,,,,,,
05 - Medications,Monoamine Oxidase Inhibitor,moainhi,FDA,,,,,,
05 - Medications,Nicotinic Acid,nicotinicacid,FDA,,,,,,
05 - Medications,Nitrate Vasodilator,nitrated,FDA,,,,,,
05 - Medications,Nonergot Dopamine Agonist,nonergotdopam,FDA,,,,,,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,FDA,,,,,,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,FDA,,,,,,
05 - Medications,Platelet Aggregation Inhibitor,plateletedagginh,FDA,,,,,,
05 - Medications,Potassium Salt,potassiumsalt,FDA,,,,,,
05 - Medications,Potassium-sparing Diuretic,potassiumspardiur,FDA,,,,,,
05 - Medications,Progestin,progestin,FDA,,,,,,
05 - Medications,Proton Pump Inhibitor,ppi,FDA,,,,,,
05 - Medications,Sulfonylurea,sulfonylurea,FDA,,,,,,
05 - Medications,Sympathomimetic Amine Anorectic,sympathanorect,FDA,,,,,,
05 - Medications,Sympathomimetic-like Agent,sympathagent,FDA,,,,,,
05 - Medications,Thiazide Diuretic,thiazide,FDA,,,,,,
05 - Medications,Thiazolidinedione,tzd,FDA,,,,,,
05 - Medications,Tricyclic Antidepressant,tca,FDA,,,,,,
05 - Medications,Typical Antipsychotic,typicalantipsychot,FDA,,,,,,
05 - Medications,Unfractionated Heparin,unfractheparin,FDA,,,,,,
05 - Medications,Vasodilator,vasodilator,FDA,,,,,,
05 - Medications,Xanthine Oxidase Inhibitor,xanthoxidinh,FDA,,,,,,
06 - Health Habits,Alcohol consumption,alcohol,SNOMED CT,219006,,,,,
06 - Health Habits,Self reported bed time,selfrepbedtime,,,,,,,
06 - Health Habits,Self reported wake time,selfrepwaketime,,,,,,,
06 - Health Habits,Self reported sleep duration,selfrepsleepduration,,,,,,,
06 - Health Habits,Smoking status,smoking,SNOMED CT,365981007,,,,,
06 - Health Habits,Pack years,packyears,,,,,,,
06 - Health Habits,Caffeine intake,caffeineintake,,,,,,,
07 - Laboratory Data,Fasting glucose,fastingglucose,SNOMED CT,167096006,,,,,
07 - Laboratory Data,Fasting insulin,fastinginsulin,,,,,,,
07 - Laboratory Data,HDL cholesterol,hdlchol,SNOMED CT,102737005,,,,,
07 - Laboratory Data,LDL cholesterol,ldlchol,SNOMED CT,102739008,,,,,
07 - Laboratory Data,Total cholesterol,totalchol,SNOMED CT,301860006,,,,,
07 - Laboratory Data,Triglycerides,triglyc,SNOMED CT,85600001,,,,,
07 - Laboratory Data,Hemoglobin A1c,hba1c,,,,,,,
07 - Laboratory Data,Creatinine,creatinine,,,,,,,
07 - Laboratory Data,Creatinine clearance,creatinineclear,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type I,type1sleepstudy,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type II,type2sleepstudy,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type III,type3sleepstudy,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type IV,type4sleepstudy,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Laboratory,labsleepstudy,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Home,homesleepstudy,,,,,,,
08B - Sleep Study Data - Time,Duration of sleep study,sleepstudyduration,,,,,,,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,,,,xvSzK_cnAX9 ,NINDS,NINDS: C12430 v3; NINDS Variable Name: PolysmngrphySleepTotalDur,
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,,,,,,,
08B - Sleep Study Data - Time,Sleep fragmentation index,sleepfragmentindex,,,,,,,
08B - Sleep Study Data - Time,Sleep maintenance efficiency,sleepmaintefficiency,,,,,,,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,,,,UeoCPOQGwAF ,NINDS,NINDS: C12429 v3; NINDS Variable Name: PolysmngrphySleepLatencyDur,
08B - Sleep Study Data - Time,Time awake after sleep onset,timeawakeaftersleep,,,,,,,
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Average central sleep apnea length,avgcsalength,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleep apnea events,osaevent,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Average obstructive sleep apnea length,avgosalength,,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Average hypopnea length,avghypolength,,,,,,,
08C1C - Sleep Study Data - Respiratory - Events - Desaturation,Desaturation events,desatevent,SNOMED CT,238159008,,9gPyoFNA_hQ,NINDS,NINDS: C11021 v3; NINDS Variable Name: PolysomNoctOximtryDesatTtlCt,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index greater than or equal to 15,ahigteq15,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index greater than or equal to 5,caigteq5,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: all desaturations,caiall,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation,cai4percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation or arousal,cai4percentarousal,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea hypopnea index: 4% desaturation,oahi4percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation or arousal,oai4percentarousal,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations,rdiall,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations or arousal,rdiallarousal,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation,rdi2percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation or arousal,rdi2percentarousal,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation,rdi3percent,,,,RWJ7DrEqJJJ,NINDS,NINDS: C12444 v3; NINDS Variable Name: PolysmnSpO2DropHrTtlSleepCt,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation or arousal,rdi3percentarousal,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation,rdi4percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation or arousal,rdi4percentarousal,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation,rdi5percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation or arousal,rdi5percentarousal,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: all desaturations,rdisupall,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 2% desaturation,rdisup2percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 3% desaturation,rdisup3percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 4% desaturation,rdisup4percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 5% desaturation,rdisup5percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: all desaturations,rdinonsupall,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 2% desaturation,rdinonsup2percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 3% desaturation,rdinonsup3percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 4% desaturation,rdinonsup4percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 5% desaturation,rdinonsup5percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM: all desaturations,rdiremall,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 2% desaturation,rdirem2percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 3% desaturation,rdirem3percent,,,,cJ0Uf2nD8MS,NINDS,NINDS: C12445 v3; NINDS Variable Name: PolysmnSpO2DropHrREMSleepCt,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 4% desaturation,rdirem4percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 5% desaturation,rdirem5percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM: all desaturations,rdinremall,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 2% desaturation,rdinrem2percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 3% desaturation,rdinrem3percent,,,,_AcWdnB1T5G,NINDS,NINDS: C12446 v3; NINDS Variable Name: PolysmnSpO2DrpHrNonREMSleepCt,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 4% desaturation,rdinrem4percent,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 5% desaturation,rdinrem5percent,,,,,,,
08C3 - Sleep Study Data - Respiratory  - Breathing ,Cheyne Stoke breathing,cheynestokebreath,,,,,,,
08C3 - Sleep Study Data - Respiratory  - Breathing ,Periodic breathing,periodicbreath,,,,,,,
08D - Sleep Study Data - Stages,NREM sleep time,nremsleep,SNOMED CT,60984000,,,,,
08D - Sleep Study Data - Stages,REM sleep time,remsleep,SNOMED CT,89129007,,,,,
08D - Sleep Study Data - Stages,Stage N1 sleep time,stagen1sleep,,,,,,,
08D - Sleep Study Data - Stages,Stage N2 sleep time,stagen2sleep,,,,,,,
08D - Sleep Study Data - Stages,Stage N3 sleep time,stagen3sleep,,,,,,,
08D - Sleep Study Data - Stages,Stage 1 sleep time,stage1sleep,,,,,,,
08D - Sleep Study Data - Stages,Stage 2 sleep time,stage2sleep,,,,,,,
08D - Sleep Study Data - Stages,Stage 3 sleep time,stage3sleep,,,,,,,
08E1 - Sleep Study Data - Arousals -Events,Arousal events,arousevents,,,,,,,
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,,,,,,,
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,,,,,,,
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events with arousal,plmeventsarous,,,,,,,
08F2 - Sleep Study Data - Limb Movement - Indices,Periodic limb movement events with arousal index,plmeventsarousindex,,,,,,,
08F2 - Sleep Study Data - Limb Movement - Indices,Periodic limb movement index,plmindex,,,,,,,
