category,display_name,id,chat,definition,source,time,method,formula,equipment,link
04 - Medical History,Eating disorder,eatingdishist,med1j4,Currently taking medication for an eating disorder?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Eczema,eczemahist,med1k1,Ever had eczema?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Eczema,eczemahist,med1k2,Diagnosed or treated by a physician for eczema?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Eczema,eczemahist,med1k3,Eczema still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Eczema,eczemahist,med1k4,Currently taking medication for eczema?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Gastroesophageal reflux disease,gerdhist,med1g1,Ever had heartburn or acid reflux?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Gastroesophageal reflux disease,gerdhist,med1g2,Diagnosed or treated by a physician for heartburn or acid reflux?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Gastroesophageal reflux disease,gerdhist,med1g3,Heartburn or acid reflux still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Gastroesophageal reflux disease,gerdhist,med1g4,Currently taking medication for heartburn or acid reflux?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hay fever,hayfevhist,med1l1,Ever had hay fever?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hay fever,hayfevhist,med1l2,Diagnosed or treated by a physician for hay fever?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hay fever,hayfevhist,med1l3,Hay fever still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hay fever,hayfevhist,med1l4,Currently taking medication for hay fever?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hypercholesterolemia - history,cholesthist,med1n1,Ever had high cholesterol?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hypercholesterolemia - history,cholesthist,med1n2,Diagnosed or treated by a physician for high cholesterol?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hypercholesterolemia - history,cholesthist,med1n3,High cholesterol still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hypercholesterolemia - history,cholesthist,med1n4,Currently taking medication for high cholesterol?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hypertension - history,htnhist,med1m1,Ever had hypertension?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hypertension - history,htnhist,med1m2,Diagnosed or treated by a physician for hypertension?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hypertension - history,htnhist,med1m3,Hypertension still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Hypertension - history,htnhist,med1m4,Currently taking medication for hypertension?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Migraine headache,migrainehist,med1p1,Ever had headaches?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Migraine headache,migrainehist,med1p2,Diagnosed or treated by a physician for headaches?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Migraine headache,migrainehist,med1p3,Headaches still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Migraine headache,migrainehist,med1p4,Currently taking medication for headaches?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04 - Medical History,Myocardial infarction - history,mihist,,,,,,,,
04 - Medical History,Pacemaker placement,ppmhist,,,,,,,,
04 - Medical History,Seizure disorder/epilepsy - history,seizurehist,,,,,,,,
04 - Medical History,Stroke - history,strokehist,,,,,,,,
04 - Medical History,Taking cardiovascular medication,cvmedshist,,,,,,,,
04 - Medical History,Transient ischemic attack,tiahist,,,,,,,,
04 - Medical History,Peripheral vascular disease,pvdhist,,,,,,,,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,,,,,,,,
04 - Medical History,Angina pectoris,anginahist,,,,,,,,
04 - Medical History,Cardiac arrest - history,cardarresthist,,,,,,,,
04 - Medical History,Bariatric surgery,bariatrichist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,eli16,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?",CHAT,Baseline visit,,,CHAT protocol defined eligibility form,
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,eli16a,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?",CHAT,Baseline visit,,,CHAT protocol defined eligibility form,
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist,eli16,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?",CHAT,Baseline visit,,,CHAT protocol defined eligibility form,
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist,eli16a,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?",CHAT,Baseline visit,,,CHAT protocol defined eligibility form,
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,eli16,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?",CHAT,Baseline visit,,,CHAT protocol defined eligibility form,
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,eli16a,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?",CHAT,Baseline visit,,,CHAT protocol defined eligibility form,
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,eli16,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?",CHAT,Baseline visit,,,CHAT protocol defined eligibility form,
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,eli16a,"Has the participant had previous upper airway surgery on the nose, pharynx or larynx?",CHAT,Baseline visit,,,CHAT protocol defined eligibility form,
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,med1o1,Ever had insomnia?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,med1o2,Diagnosed or treated by a physician for insomnia?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,med1o3,Insomnia still present?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,med1o4,Currently taking medication for insomnia?,CHAT,Baseline visit,Reported by parent or guardian,,CHAT Medical history form,
04A - Medical History - Sleep Disorders,Narcolepsy,narcolephist,,,,,,,,
04A - Medical History - Sleep Disorders,Periodic limb movement disorder,plmdhist,,,,,,,,
04A - Medical History - Sleep Disorders,Restless legs syndrome,rlshist,,,,,,,,
04A - Medical History - Sleep Disorders,Sleep apnea,apneahist,eli2,Does the participant have obstructive sleep apnea?,CHAT,Baseline visit,,,CHAT protocol defined eligibility form,
04A - Medical History - Sleep Disorders,Use of an oral appliance,oralapphist,pe216a4,Oral device,CHAT,Follow-up visit,PI-physical exam and review of medical and sleep history,,CHAT physical examination form,
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,pe216a2,CPAP or BIPAP,CHAT,Follow-up visit,PI-physical exam and review of medical and sleep history,,CHAT physical examination form,
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,eli17,Has the participant received Continuous Positive Airway Pressure (CPAP) treatment?,CHAT,Baseline visit,,,CHAT protocol defined eligibility form,
05 - Medications,5-Lipoxygenase Inhibitor,5lipoxinh,,,,,,,,
05 - Medications,Cholinesterase Inhibitor,cholinh,,,,,,,,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,,,,,,,,
05 - Medications,alpha-Glucosidase Inhibitor,alphaglucos,,,,,,,,
05 - Medications,Aldosterone Receptor Blocker,aldostblocker,,,,,,,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,,,,,,,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,,,,,,,,
05 - Medications,Antiarrhythmic,antiarrhyth,,,,,,,,
05 - Medications,Anticholinergic,antichol,,,,,,,,
05 - Medications,Anti-coagulant,anticoag,,,,,,,,
05 - Medications,Atypical Antipsychotic,atypicalantipsychot,,,,,,,,
05 - Medications,Benzodiazepine,benzo,,,,,,,,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,,,,,,,,
05 - Medications,beta-Adrenergic Blocker,betablocker,,,,,,,,
05 - Medications,Biguanide,biguanide,,,,,,,,
05 - Medications,Bile Acid Sequestrant,bileacidseq,,,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,,,,,,,,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,,,,,,,,
05 - Medications,Corticosteroid,corticoster,,,,,,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,,,,,,,,
05 - Medications,Dipeptidyl Peptidase 4 Inhibitor,dpp4inh,,,,,,,,
05 - Medications,Estrogen,estrogen,,,,,,,,
05 - Medications,GLP-1 Receptor Agonist,glp1agonist,,,,,,,,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,,,,,,,,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,,,,,,,,
05 - Medications,Hypercholesterolemia,cholloweragent,,,,,,,,
05 - Medications,Insulin,insulin,,,,,,,,
05 - Medications,Insulin Analog,insulinanalog,,,,,,,,
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag,,,,,,,,
05 - Medications,Loop Diuretic,loopdiuretic,,,,,,,,
05 - Medications,Low Molecular Weight Heparin,lmwheparin,,,,,,,,
05 - Medications,l-Thyroxine,thyroxine,,,,,,,,
05 - Medications,l-Triiodothyronine,triiodothy,,,,,,,,
05 - Medications,Monoamine Oxidase Inhibitor,moainhi,,,,,,,,
05 - Medications,Nicotinic Acid,nicotinicacid,,,,,,,,
05 - Medications,Nitrate Vasodilator,nitrated,,,,,,,,
05 - Medications,Nonergot Dopamine Agonist,nonergotdopam,,,,,,,,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,,,,,,,,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,,,,,,,,
05 - Medications,Platelet Aggregation Inhibitor,plateletedagginh,,,,,,,,
05 - Medications,Potassium Salt,potassiumsalt,,,,,,,,
05 - Medications,Potassium-sparing Diuretic,potassiumspardiur,,,,,,,,
05 - Medications,Progestin,progestin,,,,,,,,
05 - Medications,Proton Pump Inhibitor,ppi,,,,,,,,
05 - Medications,Sulfonylurea,sulfonylurea,,,,,,,,
05 - Medications,Sympathomimetic Amine Anorectic,sympathanorect,,,,,,,,
05 - Medications,Sympathomimetic-like Agent,sympathagent,,,,,,,,
05 - Medications,Thiazide Diuretic,thiazide,,,,,,,,
05 - Medications,Thiazolidinedione,tzd,,,,,,,,
05 - Medications,Tricyclic Antidepressant,tca,,,,,,,,
05 - Medications,Typical Antipsychotic,typicalantipsychot,,,,,,,,
05 - Medications,Unfractionated Heparin,unfractheparin,,,,,,,,
05 - Medications,Vasodilator,vasodilator,,,,,,,,
05 - Medications,Xanthine Oxidase Inhibitor,xanthoxidinh,,,,,,,,
06 - Health Habits,Alcohol consumption,alcohol,,,,,,,,
06 - Health Habits,Self Reported bed and wake times,selfrepbedwaketimes,,,,,,,,
06 - Health Habits,Self Reported sleep duration,selfrepsleepduration,,,,,,,,
06 - Health Habits,Smoking status,smoking,,,,,,,,
06 - Health Habits,Pack years,packyears,,,,,,,,
06 - Health Habits,Caffeine intake,caffeineintake,,,,,,,,
07 - Laboratory Data,Fasting glucose,fastingglucose,glucose_mmol,Blood glucose levels,CHAT,Baseline/follow-up visit,Fasting venipuncture,,Colorimetric assay,
07 - Laboratory Data,Fasting glucose,fastingglucose,sgl_mg_dl,Serum glucose levels,CHAT,Baseline/follow-up visit,Fasting venipuncture,,Colorimetric assay - normal range (74-106 mg/dL),
07 - Laboratory Data,Fasting insulin,fastinginsulin,insulin_uil_ml,Blood insulin levels,CHAT,Baseline/follow-up visit,Fasting venipuncture,,immunoassay- normal range (2.6- 24.9 uU/mL ),
07 - Laboratory Data,Fasting insulin,fastinginsulin,roche_insulin,Insulin levels determined by Roche meter,CHAT,Baseline/follow-up visit,Fasting venipuncture,,immunoassay- normal range (2.6- 24.9 uU/mL ),
07 - Laboratory Data,HDL cholesterol,hdlchol,hdl_mg_dl,Blood HDL levels,CHAT,Baseline/follow-up visit,Fasting venipuncture,,Colorimetric assay- normal ranges (Highly Desireable: > 60 mg/dL;  Desireable:  35-60 mg/dL; High Risk:  <40 mg/dL),
07 - Laboratory Data,LDL cholesterol,ldlchol,ldl_mg_dl,Blood LDL levels,CHAT,Baseline/follow-up visit,Fasting venipuncture - calculated,Total Cholesterol – {HDL + (Triglycerides/5)},Colorimetric assay- normal ranges (Desireable: < 130 mg/dL; Borderline: 130-159 mg/dL; High Risk:  >= 160 mg/dL),
07 - Laboratory Data,Total cholesterol,totalchol,chol,Total cholesterol levels,CHAT,Baseline/follow-up visit,Fasting venipuncture,,Colorimetric assay- normal ranges (Desireable : < 200 mg/dL; Borderline:  200 – 239 mg/dL; High:  => 240 mg/dL),
07 - Laboratory Data,Triglycerides,triglyc,trig,Triglyceride levels,CHAT,Baseline/follow-up visit,Fasting venipuncture,,Colorimetric assay- normal ranges (Normal:<150 mg/dL; Borderline High: 150-199 mg/dL; High; Very High: >=150mg/dL) ,
07 - Laboratory Data,Hemoglobin A1c,hba1c,,,,,,,,
07 - Laboratory Data,Creatinine,creatinine,,,,,,,,
07 - Laboratory Data,Creatinine clearance,creatinineclear,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type I,type1sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type II,type2sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type III,type3sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type IV,type4sleepstudy,,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Laboratory,labsleepstudy,,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Home,homesleepstudy,,,,,,,,
08B - Sleep Study Data - Time,Duration of sleep study,sleepstudyduration,stdurm,Study length (epoch 1 to last epoch),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Sleep duration,sleepduration,slp_time,Total sleep time,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Sleep duration,sleepduration,slpprdp,Total sleep time,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Sleep duration,sleepduration,slptime,Sleep time,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Sleep duration,sleepduration,slptimem,Sleep time,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,slpeffp,Sleep efficiency,CHAT,Baseline/follow-up PSG,Calculated,Sleep efficiency - [(total sleep time) / (time from sleep onset to morning waking)] * 100 ,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,slp_eff,Sleep efficiency percentage,CHAT,Baseline/follow-up PSG,Calculated,slp_eff = 100*(slpprdp)/timebedp,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Sleep fragmentation index,sleepfragmentindex,,,,,,,,
08B - Sleep Study Data - Time,Sleep maintenance efficiency,sleepmaintefficiency,,,,,,,,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,slp_lat,Sleep latency,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,slplatm,Sleep latency,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,slplatp,Sleep latency,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Time awake after sleep onset,timeawakeaftersleep,waso,Wake after sleep onset,CHAT,Baseline/follow-up PSG,Calculated,waso = timebedp - slpprdp - slplatp,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,time_bed,Time in bed,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,timebedm,Time in bed,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,timebedp,Time in bed,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba,"Number of central apnea with arousals (NREM, Back, all desaturations)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba2,"Number of central apnea with arousals (NREM, Back, 2% desaturation)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba3,"Number of central apnea with arousals (NREM, Back, 3% desaturation)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba4,"Number of central apnea with arousals (NREM, Back, 4% desaturation)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba5,"Number of central apnea with arousals (NREM, Back, 5% desaturation)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
