display_name,id,shhs_id,definition
,cvmedshist,betad1,"Participant taking BETA-BLOCKERS WITH DIURETICS within two weeks of the SHHS1 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,betad2,"Participant taking BETA-BLOCKERS WITH DIURETICS within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,ccb1,"Participant taking ANY CALCIUM-CHANNEL BLOCKER = CCIR OR CCBSR OR CCBT within two weeks of the SHHS1 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,ccb2,"Participant taking ANY CALCIUM-CHANNEL BLOCKER = CCIR OR CCBSR OR CCBT within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,ccbir1,"Participant taking IMMEDIATE-RELEASE CCBS = NIFIR OR DIHIR OR VERIR OR DLTIR within two weeks of the SHHS1 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,ccbir2,"Participant taking IMMEDIATE-RELEASE CCBS = NIFIR OR DIHIR OR VERIR OR DLTIR within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,ccbsr1,"Participant taking SLOW-RELEASE CCBS = NIFSR OR DIHSR OR VERSR OR DLTSR OR AMLOD within two weeks of the SHHS1 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,ccbsr2,"Participant taking SLOW-RELEASE CCBS = NIFSR OR DIHSR OR VERSR OR DLTSR OR AMLOD within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,ccbt2,"Participant taking T-TYPE CALCIUM-CHANNEL BLOCKER within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,dihir2,"Participant taking IMMEDIATE-RELEASE DIHYROPRYIDINES OTHER THAN NIFEDIPINE within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,dihsr2,"Participant taking SLOW-RELEASE DIHYDROPYRIDINES OTHER THAN NIFEDIPINE OR AMLOPIDINE within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,dltir2,"Participant taking IMMEDIATE-RELEASE DILTIAZEM within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,dltsr2,"Participant taking SLOW-RELEASE DILTIAZEM within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,anar1a1,"Participant taking ANTI-ARRHYTHMICS, CLASS 1A within two weeks of the SHHS1 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,anar1a2,"Participant taking ANTI-ARRHYTHMICS, CLASS 1A within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,anar1b1,"Participant taking ANTI-ARRHYTHMICS, CLASS 1B within two weeks of the SHHS1 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,anar1b2,"Participant taking ANTI-ARRHYTHMICS, CLASS 1B within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,anar1c1,"Participant taking ANTI-ARRHYTHMICS, CLASS 1C within two weeks of the SHHS1 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,anar1c2,"Participant taking ANTI-ARRHYTHMICS, CLASS 1C within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,anar31,"Participant taking ANTI-ARRHYTHMICS, CLASS 3 within two weeks of the SHHS1 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
,cvmedshist,anar32,"Participant taking ANTI-ARRHYTHMICS, CLASS 3 within two weeks of the SHHS2 visit. All medications were recorded during the interview, and medication information was later categorized by physician review."
Alcohol consumption,alcohol,alcoh,Usual Alcohol Intake per day. drinks per day
Central sleep apneas/hour,csaperhr,cardnbp,"Central Apnea per hour (NREM, Back, all oxygen desaturations). events per hour"
,csaperhr,cardnop,"Central Apnea per hour (NREM, Other, all oxygen desaturations). events per hour"
,csaperhr,cardrbp,"Central Apnea per hour (REM, Back, all oxygen desaturations). events per hour"
,csaperhr,cardrop,"Central Apnea per hour (REM, Other, all oxygen desaturations). events per hour"
Obstructive sleeps apneas/hour,osaperhr,oardnbp,"Obstructive Apnea per hour (NREM, Back, all oxygen desaturations). events per hour"
,osaperhr,oardnop,"Obstructive Apnea per hour (NREM, Other, all oxygen desaturations). events per hour"
,osaperhr,oardrbp,"Obstructive Apnea per hour (REM, Back, all oxygen desaturations). events per hour"
,osaperhr,oardrop,"Obstructive Apnea per hour (REM, Other, all oxygen desaturations). events per hour"
Apnea hypopnea index ³ 15,ahigteq15,rdi0p,RDI at all oxygen desaturations [(Total number of apneas and hypopneas) / (hours of sleep)]
Central apnea index ³ 5,caigteq5,cai0p,Central Apnea Index at all oxygen desaturations [(Total number of central apneas associated with all oxygen desaturations) / (hours of sleep)]
Obstructive apnea hypopnea index,oahi,oahi,Obstructive Apnea Hypopnea Index at 4% oxygen desaturation. Ratio of the count of all obstructive apneas plus the count of hypopneas associated with at least a 4% oxygen desaturation to the total sleep time expressed in hours. {[(Total number of obstructive apneas) + (Total number of hypopneas associated with >= 4% oxygen desaturation)] / (hours of sleep)}
Percent sleep time oxygen saturation < 90%,sleepo2lt90,pctlt90,Percent of sleep time with oxygen saturation < 90%. Ratio of the number of minutes with oxygen saturation under 90% to the total sleep time expressed in hours.
Atrial fibrillation - adjudicated event,afibadjud,afiby8,Afib status at year 8
Atrial fibrillation - electrocardiogram,afibekg,ec409e,Atrial fibrillation or flutter
,afibekg,ec420e,Atrial fibrillation or flutter
Atrial fibrillation - polysomonogram - paroxysmal,afibpsgparox,,
Atrial fibrillation - polysomonogram - persistent,afibpsgpersist,,
Atrial fibrillation - history,afibhist,afib9,HAD ATRIAL FIBRILLATION
,afibhist,afib10,HAD ATRIAL FIBRILLATION
,afibhist,afib11,HAD ATRIAL FIBRILLATION
,,afib12,TOLD BY MD YOU HAD ATRIAL FIBRILLATION
,,afib13,TOLD BY MD YOU HAD ATRIAL FIBRILLATION
,,afib14,TOLD BY MD YOU HAD ATRIAL FIBRILLATION
,,afib15,TOLD BY MD YOU HAD ATRIAL FIBRILLATION
,,afib16,TOLD BY MD YOU HAD ATRIAL FIBRILLATION
,,afib17,TOLD BY MD YOU HAD ATRIAL FIBRILLATION
,,afib18,TOLD BY MD YOU HAD ATRIAL FIBRILLATION
,,afib19,TOLD BY MD YOU HAD ATRIAL FIBRILLATION
