05 - Medications,Atypical Antipsychotic,atypicalantipsychot,,
05 - Medications,Benzodiazepine,benzo
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist
05 - Medications,beta-Adrenergic Blocker,betablocker
05 - Medications,Biguanide,biguanide
05 - Medications,Bile Acid Sequestrant,bileacidseq
05 - Medications,Calcium Channel Blocker,calcchanblocker
05 - Medications,Central Nervous System Stimulant,cnsstimulant
05 - Medications,Corticosteroid,corticoster
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker
05 - Medications,Dipeptidyl Peptidase 4 Inhibitor,dpp4inh
05 - Medications,Estrogen,estrogen
05 - Medications,GLP-1 Receptor Agonist,glp1agonist
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh
05 - Medications,Hypercholesterolemia,cholloweragent
05 - Medications,Insulin,insulin
05 - Medications,Insulin Analog,insulinanalog
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag
05 - Medications,Loop Diuretic,loopdiuretic
05 - Medications,Low Molecular Weight Heparin,lmwheparin
05 - Medications,l-Thyroxine,thyroxine
05 - Medications,l-Triiodothyronine,triiodothy
05 - Medications,Monoamine Oxidase Inhibitor,moainhi
05 - Medications,Nicotinic Acid,nicotinicacid
05 - Medications,Nitrate Vasodilator,nitrated
05 - Medications,Nonergot Dopamine Agonist,nonergotdopam
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh
05 - Medications,Platelet Aggregation Inhibitor,plateletedagginh
05 - Medications,Potassium Salt,potassiumsalt
05 - Medications,Potassium-sparing Diuretic,potassiumspardiur
05 - Medications,Progestin,progestin
05 - Medications,Proton Pump Inhibitor,ppi,,
05 - Medications,Sulfonylurea,sulfonylurea,,
05 - Medications,Sympathomimetic Amine Anorectic,sympathanorect,,
05 - Medications,Sympathomimetic-like Agent,sympathagent,,
05 - Medications,Thiazide Diuretic,thiazide,,
05 - Medications,Thiazolidinedione,tzd,,
05 - Medications,Tricyclic Antidepressant,tca,,
05 - Medications,Typical Antipsychotic,typicalantipsychot,,
05 - Medications,Unfractionated Heparin,unfractheparin,,
05 - Medications,Vasodilator,vasodilator,,
05 - Medications,Xanthine Oxidase Inhibitor,xanthoxidinh,,
06 - Health Habits,Alcohol consumption,alcohol,,
06 - Health Habits,Self reported bed and wake times,selfrepbedwaketimes,,
06 - Health Habits,Self reported sleep duration,selfrepsleepduration,,
06 - Health Habits,Smoking status,smoking,,
07 - Laboratory Data,Fasting glucose,fastingglucose,glucose_mmol,Blood glucose levels
07 - Laboratory Data,Fasting glucose,fastingglucose,sgl_mg_dl,Serum glucose levels
07 - Laboratory Data,Fasting insulin,fastinginsulin,insulin_uil_ml,Blood insulin levels
07 - Laboratory Data,Fasting insulin,fastinginsulin,roche_insulin,Insulin levels determined by Roche meter
07 - Laboratory Data,HDL cholesterol,hdlchol,hdl_mg_dl,Blood HDL levels
07 - Laboratory Data,LDL cholesterol,ldlchol,ldl_mg_dl,Blood LDL levels
07 - Laboratory Data,Total cholesterol,totalchol,chol,Total cholesterol levels
07 - Laboratory Data,Triglycerides,triglyc,trig,Triglyceride levels
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type I,type1sleepstudy,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type II,type2sleepstudy,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type III,type3sleepstudy,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type IV,type4sleepstudy,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Laboratory,labsleepstudy,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Home,homesleepstudy,,
08B - Sleep Study Data - Time,Duration of sleep study,sleepstudyduration,,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,,
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,,
08B - Sleep Study Data - Time,Sleep fragmentation index,sleepfragmentindex
08B - Sleep Study Data - Time,Sleep maintenance efficiency,sleepmaintefficiency
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency
08B - Sleep Study Data - Time,Time awake after sleep onset,timeawakeaftersleep
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea event,csaevent
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea event,osaevent
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea event,hypopevent
08C1C - Sleep Study Data - Respiratory - Events - Desaturation,Desaturation event,desatevent
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index > 15,ahigteq15
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index ? 5,caigteq5
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: all desaturations,caiall
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation,cai4percent
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation or arousal,cai4percentarousal
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea hypopnea index: 4% desaturation,oahi4percent
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation or arousal,oai4percentarousal
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations,rdiall
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations or arousal,rdiallarousal
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation,rdi2percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation or arousal,rdi2percentarousal
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation,rdi3percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation or arousal,rdi3percentarousal
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation,rdi4percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation or arousal,rdi4percentarousal
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation,rdi5percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation or arousal,rdi5percentarousal
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: all desaturations,rdisupall
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 2% desaturation,rdisup2percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 3% desaturation,rdisup3percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 4% desaturation,rdisup4percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 5% desaturation,rdisup5percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: all desaturations,rdinonsupall
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 2% desaturation,rdinonsup2percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 3% desaturation,rdinonsup3percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 4% desaturation,rdinonsup4percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 5% desaturation,rdinonsup5percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM: all desaturations,rdiremall
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 2% desaturation,rdirem2percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 3% desaturation,rdirem3percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 4% desaturation,rdirem4percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 5% desaturation,rdirem5percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM: all desaturations,rdinremall
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 2% desaturation,rdinrem2percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 3% desaturation,rdinrem3percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 4% desaturation,rdinrem4percent
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 5% desaturation,rdinrem5percent
08C3 - Sleep Study Data - Respiratory  - Breathing ,Cheyne Stoke breathing,cheynestokebreath
08C3 - Sleep Study Data - Respiratory  - Breathing ,Periodic breathing,periodicbreath
08D - Sleep Study Data - Stages,NREM sleep time,nremsleep
08D - Sleep Study Data - Stages,REM sleep time,remsleep
08D - Sleep Study Data - Stages,Stage N1 sleep time,stagen1sleep
08D - Sleep Study Data - Stages,Stage N2 sleep time,stagen2sleep
08D - Sleep Study Data - Stages,Stage N3 sleep time,stagen3sleep
08D - Sleep Study Data - Stages,Stage 1 sleep time,stage1sleep
08D - Sleep Study Data - Stages,Stage 2 sleep time,stage2sleep
08D - Sleep Study Data - Stages,Stage 3 sleep time,stage3sleep
08E1 - Sleep Study Data - Arousals -Events,Arousal events,arousevents
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events with arousal,plmeventsarous
08F2 - Sleep Study Data - Limb Movement - Indices,Periodic limb movement events with arousal index,plmeventsarousindex
08F2 - Sleep Study Data - Limb Movement - Indices,Periodic limb movement index,plmindex
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 70%,sleepo2lt70
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 75%,sleepo2lt75
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 80%,sleepo2lt80
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 85%,sleepo2lt85
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 88%,sleepo2lt88
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 90%,sleepo2lt90
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 92%,sleepo2lt92
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 95%,sleepo2lt95
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation during sleep,avgo2duringsleep
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation with respiratory events,avgo2respevents
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation with respiratory events,nadiro2respevents
08G4 - Sleep Study Data - Oxygen Saturation -  Indices,Oxygen desaturation index,o2desatindex
08H - Sleep Study Data - Heart Rate,Average heart rate,avgheartrate
08I - Sleep Study Data - Electrocardiogram - Arrhythmia,Atrial fibrillation - polysomonogram - paroxysmal,afibpsgparox
08I - Sleep Study Data - Electrocardiogram - Arrhythmia,Atrial fibrillation - polysomonogram - persistent,afibpsgpersist
08J - Sleep Study Data - Quality,Quality of sleep study,sleepstudyquality
08J - Sleep Study Data - Quality,Signal quality codes,
08K - Sleep Study Data - End Tidal CO2,,
10 - Sleep Symptoms,Early morning awakening,earlyawakening
10 - Sleep Symptoms,Epworth Sleepiness Scale score,epworthscore
10 - Sleep Symptoms,Modified Epworth Sleepiness Scale score,modepworthscore
10 - Sleep Symptoms,Pediatric Sleep Questionnaire Sleep-Related Breathing Disorder (PSQ-SRBD) score, psqsrbdscore
10 - Sleep Symptoms,Obstructive Sleep Apnea-18 Assessment Tool score,osa18assessscore
10 - Sleep Symptoms,Excessive daytime sleepiness,excessdaysleepiness
10 - Sleep Symptoms,Problems falling asleep,probfallasleep
10 - Sleep Symptoms,Problems staying asleep,probstayasleep
10 - Sleep Symptoms,Unrefreshed sleep,unrefreshsleep
10A - Sleep Symptoms - Snoring,Habitual snoring,habitsnoring
10A - Sleep Symptoms - Snoring,Habitual snoring - frequency,habitsnoringfreq,,
10A - Sleep Symptoms - Gasping,Snoring/gasping/stopping breathing,snoringgasping,,
10A - Sleep Symptoms - Gasping,Snoring/gasping/stopping breathing - frequency,snoringgaspingfreq,,
11 - Other Symptoms,Chronic cough,chroniccough,,
11 - Other Symptoms,Nocturnal wheezing,noctwheez,,
11 - Other Symptoms,Persistent wheezing,persistwheez,,
12 - Adjudicated Events,Atrial fibrillation - adjudicated event,afibadjud,,
12 - Adjudicated Events,Congestive heart failure - adjudicated event,chfadjud,,
12 - Adjudicated Events,Myocardial infarction - adjudicated event,miadjud,,
12 - Adjudicated Events,Stroke - adjudicated event,strokeadju,,
13 - Spirometry,FEV1,fev1,,
13 - Spirometry,FEV1/FVC,fev1fvcratio,,
13 - Spirometry,FVC,fvc,,
13 - Spirometry,Percent predicted FEV1,percentpredfev1,,
13 - Spirometry,Percent predicted FVC,percentpredfvc,,
08K - Sleep Study Data - End-Tidal CO2,Capnograph type,capnotype,capnotype,Capnograph type
08K - Sleep Study Data - End-Tidal CO2,Hours of usable CO2,hoursco2,co2dur,Hours of usable carbon dioxide
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - NREM,avgco2nrem,rco2avgnr,Average end-tidal carbon dioxide in NREM
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - NREM - normalized for capnograph type,avgco2nremnorm,nova_est_co2avgnr,Average end-tidal carbon dioxide in NREM (normalized for capnograph type)
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - REM,avgco2rem,rco2avgr,Average end-tidal carbon dioxide in REM
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - REM - normalized for capnograph type,avgco2remnorm,nova_est_co2avgr,Average end-tidal carbon dioxide in REM (normalized for capnograph type)
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - asleep,baseco2asleep,rco2blslp,Baseline end-tidal carbon dioxide asleep
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - asleep - normalized for capnograph type,baseco2asleepnorm,nova_est_co2blslp,Baseline end-tidal carbon dioxide asleep (normalized for capnograph type)
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - awake,baseco2awake,rco2blwake,Baseline end-tidal carbon dioxide awake
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - awake - normalized for capnograph type,baseco2awakenorm,nova_est_co2blwake,Baseline end-tidal carbon dioxide awake (normalized for capnograph type)
08K - Sleep Study Data - End-Tidal CO2,Peak end-tidal CO2 - asleep,peakco2asleep,rco2peak,Peak end-tidal carbon dioxide asleep
08K - Sleep Study Data - End-Tidal CO2,Peak end-tidal CO2 - asleep - normalized for capnograph type,peakco2asleepnorm,nova_est_co2peak,Peak end-tidal carbon dioxide asleep (normalized for capnograph type)
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 45 mmHg,percentco2gt45,rpctco2g45,Percentage of total sleep time where end-tidal carbon dioxide > 45 mmHg
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 45 mmHg,percentco2gt45,pctco2g45,Percentage of total sleep time where end-tidal carbon dioxide > 45 mmHg
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 45 mmHg - normalized for capnograph type,percentco2gt45norm,nova_est_pctco2g45,Percentage total sleep time where end-tidal carbon dioxide > 45 mmHg (normalized for capnograph type)
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 50 mmHg,percentco2gt50,rpctco2g50,Percentage of total sleep time where end-tidal carbon dioxide > 50 mmHg
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 50 mmHg,percentco2gt50,pctco2g50,Percentage of total sleep time end-tidal carbon dioxide > 50 mmHg
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 50 mmHg - normalized for capnograph type,percentco2gt50norm,nova_est_pctco2g50,Percentage total sleep time where end-tidal carbon dioxide > 50 mmHg (normalized for capnograph type)
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - General Conceptual Ability Score,nepsygcas,,
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Phonological Processing,nepsypp,nep3a_nepsy,Phonological Processing: Raw Score
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Phonological Processing,nepsypp,nep3c_nepsy,Phonological Processing: Language Scaled Scores
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Tower,nepsyt,nep4a_nepsy,Tower: Raw Score
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Tower,nepsyt,nep4b_nepsy,Tower: Attn / Exec Scaled Scores
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Auditory Attention and Response Set,nepsyaars,nep5a_nepsy,Auditory Attention and Response Set: Raw Score
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Auditory Attention and Response Set,nepsyaars,nep5b_nepsy,Auditory Attention and Response Set: Attn / Exec Scaled Scores
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Speeded Naming,nepsysn,nep6a_nepsy,Speeded Naming: Raw Score
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Speeded Naming,nepsysn,nep6c_nepsy,Speeded Naming: Language Scaled Scores
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Visual Attention,nepsyva,nep7a_nepsy,Visual Attention: Raw Score
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Visual Attention,nepsyva,nep7b_nepsy,Visual Attention: Attn / Exec Scaled Scores
