category,display_name,id,shhs,definition,source,time,method,formula,equipment,link
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,hi201c,History of COPD (SHHS2),SHHS2,Follow-up visit,Reported by subject,,Health interview form,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,emphys15,History of Emphysema (SHHS1),SHHS1,Baselilne visit,Reported by subject,,Health interview form,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,hi201a,History of Emphysema (SHHS2),SHHS2,Follow-up visit,Reported by subject,,Health interview form,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,crbron15,History of Chronic Bronchitis (SHHS1),SHHS1,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,hi201b,History of Chronic Bronchitis (SHHS2),SHHS2,Follow-up visit,Reported by subject,,Health interview form,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,cough315,Coughing on most days (SHHS1),SHHS1,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,phlegm15,Bring up phlegm (SHHS1),SHHS1,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Congestive heart failure - history,chfhist,hf15,MD Reported Heart Failure (SHHS1),SHHS1,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Diabetes mellitus - history,dmhist,parrptdiab,History of Diabetes (SHHS1),SHHS1,,Reported by parent cohort,,,
04 - Medical History,Hypertension - history,htnhist,htnderv_s1,Hypertension (SHHS1),,Baseline visit,Derived,,,
04 - Medical History,Hypertension - history,htnhist,srhype,Self-reported Hypertension (SHHS1),SHHS1,Baseline visit,Reported by subject,,Health interview,
04 - Medical History,Hypertension - history,htnhist,htnderv_s2,Hypertension (SHHS2),SHHS2,Follow-up visit,Derived,,,
04 - Medical History,Pacemaker placement,ppmhist,pacem15,History of Pacemaker (SHHS1),SHHS1,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Stroke - history,strokehist,stroke15,MD Reported Stroke (SHHS1),SHHS1,Baseline visit,Reported by subject,,Health interview form,
04 - Medical History,Stroke - history,strokehist,prev_hx_stroke,Previous history of stroke,SHHS,Baseline visit,Reported by subject,,Health interview,
04 - Medical History,Peripheral vascular disease,pvdhist,,,,,,,,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,prev_revpro,Number of Revascularization Procedures Prior to Baseline,SHHS,,Reported by parent cohort,,,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,ptca,Number of PTCAs Since Baseline,SHHS,,Reported by parent cohort,,,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,revasc_proc,Number of Revascularization Procedures Since Baseline,SHHS,,Reported by parent cohort,,,
04 - Medical History,Angina pectoris,anginahist,angina,Number of Anginas Since Baseline,SHHS,,Reported by parent cohort,,,
04 - Medical History,Angina pectoris,anginahist,prev_ang,Number of Anginas Prior to Baseline,SHHS,,Reported by parent cohort,,,
04 - Medical History,Angina pectoris,anginahist,angina15,MD Reported Angina (SHHS1),SHHS1,Baseline visit,Physician diagnosed,,Health interview form,
04 - Medical History,Cardiac arrest - history,cardarresthist,,,,,,,,
04 - Medical History,Bariatric surgery,bariatrichist,,,,,,,,
04A - Medical History - Sleep Disorders,Restless legs syndrome,rlshist,hi216,History of Restless Leg Syndrome (SHHS2),SHHS2,Follow-up visit,Reported by subject,,Health interview form,
04A - Medical History - Sleep Disorders,Sleep apnea,apneahist,sa15,History of Sleep Apnea (SHHS1),SHHS1,Baseline visit,Reported by subject,,Health interview form,
04A - Medical History - Sleep Disorders,Use of an oral appliance,,cpap02,Sleep Habits : Use pressure mask (CPAP) or mouthpiece for sleep apnea ,SHHS1,Baselline visit,Reported by subject,,Sleep habits questionnaire,
04A - Medical History - Sleep Disorders,Use of CPAP,,cpap02,Sleep Habits : Use pressure mask (CPAP) or mouthpiece for sleep apnea ,SHHS1,Baseline visit,Reported by subject,,Sleep habits questionnaire,
05 - Medications,Cholinesterase Inhibitor,cholinh,alzh2,Acetylcholine Esterase Inhibitors For Alzheimers (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,alpha1,Alpha-Blockers Without Diuretics (SHHS1),SHHS1,Baseline vist,Transcribed wih physician review,,Medication review form,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,alpha2,Alpha-Blockers Without Diuretics (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,alphad1,Alpha-Blockers With Diuretics (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,alphad2,Alpha-Blockers With Diuretics (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,alpha-Glucosidase Inhibitor,alphaglucos,agdi2,Alpha-Glucosidase Inhibitors (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Aldosterone Receptor Blocker,aldostblocker,,,,,,,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,a2a2,Angiotensin Type 2 Antagonists (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,a2ad2,Combinations Of Angiotensin II Antagonists Plus Diuretics (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,ace1,ACE inhibitors without diuretics (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,ace2,ACE inhibitors without diuretics (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,aced1,ACE inhibitors with diuretics (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,aced2,ACE inhibitors with diuretics (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Antiarrhythmic,antiarrhyth,anar1a1,"Anti-Arrhythmics, Class 1A (SHHS1)",SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Antiarrhythmic,antiarrhyth,anar1a2,"Anti-Arrhythmics, Class 1A (SHHS2)",SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Antiarrhythmic,antiarrhyth,anar1b1,"Anti-Arrhythmics, Class 1B (SHHS1)",SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Antiarrhythmic,antiarrhyth,anar1b2,"Anti-Arrhythmics, Class 1B (SHHS2)",SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Antiarrhythmic,antiarrhyth,anar1c1,"Anti-Arrhythmics, Class 1C (SHHS1)",SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Antiarrhythmic,antiarrhyth,anar1c2,"Anti-Arrhythmics, Class 1C (SHHS2)",SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Antiarrhythmic,antiarrhyth,anar31,"Anti-Arrhythmics, Class 3 (SHHS1)",SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Antiarrhythmic,antiarrhyth,anar32,"Anti-Arrhythmics, Class 3 (SHHS2)",SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Anticholinergic,antichol,iprtr2,Anticholinergics + Combination With Beta2-Agonist (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Anti-coagulant,anticoag,warf1,"Oral anticoagulants including warfarin, coumadin, and anisindione (SHHS1)",SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Anti-coagulant,anticoag,warf2,"Oral Anticoagulants Including Warfarin, Coumadin, And Anisindione (SHHS2)",SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Atypical Antipsychotic,atypicalantipsychot,,,,,Transcribed wih physician review,,Medication review form,
05 - Medications,Benzodiazepine,benzo,benzod1,Benzodiazepines (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Benzodiazepine,benzo,benzod2,Benzodiazepines (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,,,,,Transcribed wih physician review,,Medication review form,
05 - Medications,beta-Adrenergic Blocker,betablocker,beta1,Beta-blockers without diuretics (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,beta-Adrenergic Blocker,betablocker,beta2,Beta-Blockers Without Diuretics (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,beta-Adrenergic Blocker,betablocker,betad1,Beta-blockers with diuretics (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,beta-Adrenergic Blocker,betablocker,betad2,Beta-Blockers With Diuretics (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Biguanide,biguanide,bgnd2,Biguanides (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Bile Acid Sequestrant,bileacidseq,basq1,Bile-acid sequestrant (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Bile Acid Sequestrant,bileacidseq,basq2,Bile-Acid Sequestrants (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Calcium Channel Blocker,calcchanblocker,ccb1,Any calcium-channel blocker = CCIR or CCBSR or CCBT (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Calcium Channel Blocker,calcchanblocker,ccb2,Any Calcium-Channel Blocker (Ccir Or Ccbsr Or Ccbt) (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Calcium Channel Blocker,calcchanblocker,ccbir1,Immediate-release CCBS = NFIR or DIHIR or VERIR or DLTIR (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Calcium Channel Blocker,calcchanblocker,ccbir2,Immediate-Release Ccbs (Nifir Or Dihir Or Verir Or Dltir) (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Calcium Channel Blocker,calcchanblocker,ccbsr1,Slow-release CCBS = NIFSR or DIHSR or VERSR or DLTSR or AMLOD (SHHS1),SHHS1,Baselilne visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Calcium Channel Blocker,calcchanblocker,ccbsr2,Slow-Release Ccbs (Nifsr Or Dihsr Or Versr Or Dltsr Or Amlod) (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Calcium Channel Blocker,calcchanblocker,ccbt2,T-Type Calcium-Channel Blocker (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Calcium Channel Blocker,calcchanblocker,dltir2,Immediate-Release Diltiazem (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Calcium Channel Blocker,calcchanblocker,dltsr2,Slow-Release Diltiazem (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Calcium Channel Blocker,calcchanblocker,verir2,Immediate-Release Verapamil (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Calcium Channel Blocker,calcchanblocker,versr2,Slow-Release Verapamil (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Cardiac Glycoside,digitalis,dig1,Digitalis preparations (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Cardiac Glycoside,digitalis,dig2,Digitalis Preparations (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,,,,,Transcribed wih physician review,,Medication review form,
05 - Medications,Corticosteroid,corticoster,istrd1,Inhaled steroids for asthma (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Corticosteroid,corticoster,istrd2,Inhaled Steroids For Asthma (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Corticosteroid,corticoster,ostrd1,Oral steroids (SHHS1),SHHS1,Baseline visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Corticosteroid,corticoster,ostrd2,Oral Steroids (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,amlod2,Amlodipine (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,dihir2,Immediate-Release Dihyropryidines Other Than Nifedipine (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,dihsr2,Slow-Release Dihydropyridines Other Than Nifedipine Or Amlopidine (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,nifir2,Immediate-Release Nifedipine (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,nifsr2,Slow-Release Nifedipine (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Dipeptidyl Peptidase 4 Inhibitor,dpp4inh,,,,,Transcribed wih physician review,,Medication review form,
05 - Medications,Estrogen,estrogen,estrgn1,"Estrogens, Excluding Vaginal Creams (SHHS1)",SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Estrogen,estrogen,estrgn2,"Estrogens, Excluding Vaginal Creams (SHHS2)",SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Estrogen,estrogen,premar1,Premarin (Conjugated Estrogens) (SHHS1),SHHS1,Baselline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Estrogen,estrogen,premar2,Premarin (Conjugated Estrogens) (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,GLP-1 Receptor Agonist,glp1agonist,,,,,Transcribed wih physician review,,Medication review form,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,h2b2,H-2 Blockers (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,otch2b2,Over-The-Counter H-2 Blockers (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,sttn2,Hmg Coa Reducatace Inhibitors (Statins) (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Hypercholesterolemia,cholloweragent,lipid1,Any Lipid-Lowering Medication (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Hypercholesterolemia,cholloweragent,lipid2,Any Lipid-Lowering Medication (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Hypercholesterolemia,cholloweragent,mlpd2,Miscellaneous Lipid-Lowering Drugs (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Insulin,insulin,insuln1,Insulins (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Insulin,insulin,insuln2,Insulins (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Insulin Analog,insulinanalog,insuln1,Insulins (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Insulin,insulin,insuln2,Insulins (SHHS2),SHHS2,Follow-up visit,Trascribed with physician review,,Medication review form,
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag,oaia2,Oral Anti-Inflammatory Asthma Drugs (Leukotriene Receptor Antagonists And Inhibitors Of Lipo-Oxygenase) (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Loop Diuretic,loopdiuretic,loop1,Loop diuretics (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Loop Diuretic,loopdiuretic,loop2,Loop Diuretics (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Low Molecular Weight Heparin,lmwheparin,hprns2,Heparins (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,l-Thyroxine,thyroxine,thry1,Thyroid agents (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,l-Thyroxine,thyroxine,thry2,Thyroid Agents (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,l-Triiodothyronine,triiodothy,thry1,Thyroid agents (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,l-Triiodothyronine,triiodothy,thry2,Thyroid Agents (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Monoamine Oxidase Inhibitor,moainhi,,,,,Transcribed wih physician review,,Medication review form,
05 - Medications,Nicotinic Acid,nicotinicacid,niac1,Niacin and nicotinic acid (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Nicotinic Acid,nicotinicacid,niac2,Niacin And Nicotinic Acid (SHHS2),SHHS2,Follow-up visit,Transcribd with physician review,,Medication review form,
05 - Medications,Nitrate Vasodilator,nitrated,ntg1,Nitrates (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Nitrate Vasodilator,nitrated,ntg2,Nitrates (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Nonergot Dopamine Agonist,nonergotdopam,prknsn2,Drugs Used To Treat Parkinson's (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,asa1,Aspirin From 280804 (Anti-Inflam Agents) (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,asa2,Aspirin From 280804 (Anti-Inflam Agents) (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,cox22,Cox-2 Inhibitors (Nsaid Agents) (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,nsaid1,"Non-Steroidal Anti-Inflammatory Agents, Excluding Aspirin (SHHS1)",SHHS1,Baseline ,Transcribed with physician review,,Medication review form,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,nsaid2,"Non-Steroidal Anti-Inflammatory Agents, Excluding Aspirin (SHHS2)",SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,edd2,Erectile Dysfunction Drugs (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,pdei1,Phosphodiesterase Inhibitors (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,pdei2,Phosphodiesterase Inhibitors (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Platelet Aggregation Inhibitor,plateletedagginh,,,,,Transcribed wih physician review,,Medication review form,
05 - Medications,Potassium Salt,potassiumsalt,kcl2,Potassium Supplements (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Potassium-sparing Diuretic,potassiumspardiur,kspr2,Potassium-Sparing Agents Alone (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Progestin,progestin,progst1,Progestins (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Progestin,progestin,progst2,Progestins (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Proton Pump Inhibitor,ppi,ppi2,Proton Pump Inhibitors (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Sulfonylurea,sulfonylurea,kblkr2,K-Channel Blockers To Enhance Insulin Secretion For Diabetics (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Sulfonylurea,sulfonylurea,ohga1,Oral Hypoglycemic Agents (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Sulfonylurea,sulfonylurea,ohga2,Oral Hypoglycemic Agents (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Sulfonylurea,sulfonylurea,slf12,First Generation Sulfonylureas (SHHS2),SHHS2,Follow-up visit,Transcribed wih physician review,,Medication review form,
05 - Medications,Sulfonylurea,sulfonylurea,slf22,Second Generation Sulfonylureas (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Sympathomimetic Amine Anorectic,sympathanorect,wtls2,Weight Loss Drugs (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Sympathomimetic-like Agent,sympathagent,sympth1,"Sympathomimetics, Oral And Inhaled (SHHS1)",SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Sympathomimetic-like Agent,sympathagent,sympth2,"Sympathomimetics, Oral And Inhaled (SHHS2)",SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Thiazide Diuretic,thiazide,hctz1,Thiazide diuretics without k-sparing agents (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Thiazide Diuretic,thiazide,hctz2,Thiazide Diuretics Without K-Sparing Agents (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Thiazide Diuretic,thiazide,hctzk1,Thiazide diuretics with k-sparing agents (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Thiazide Diuretic,thiazide,hctzk2,Thiazide Diuretics With K-Sparing Agents (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Thiazolidinedione,tzd,thzd2,Thiazolidinediones (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Tricyclic Antidepressant,tca,tca1,Tricylic Anti-Depressants (SHHS1),SHHS1,Baseline visit,Transcribed with physician review,,Medication review form,
05 - Medications,Tricyclic Antidepressant,tca,tca2,Tricylic Anti-Depressants (SHHS2),SHHS2,Follow-up visit,Transcribed with physician review,,Medication review form,
05 - Medications,Typical Antipsychotic,typicalantipsychot,,,,,Transcribed with physician review,,Medication review form,
