category,display_name,id,heartbeat,definition,source,time,method,formula,equipment,link
02 - Anthropometry,Weight,weight,wtkg,Weight,Heartbeat,Baseline visit,Measured,,Healthometer digital scale,
02 - Anthropometry,Weight,weight,wtlb,Weight,Heartbeat,Baseline visit,Measured,,Healthometer digital scale,
02 - Anthropometry,Weight,weight,weightkg,Weight,Heartbeat,Baseline/final visit,Measured,,Heartbeat physical measurements form,
03 - Physiological Measurements,Diastolic blood pressure,diastolicbp,,,,,,,,
03 - Physiological Measurements,Heart rate,heartrate,,,,,,,,
03 - Physiological Measurements,Systolic blood pressure,systolicbp,,,,,,,,
03A - Physiological Measurements - Electrocardiogram,Atrial fibrillation - electrocardiogram,afibekg,atrfib,Atrial fibrillation,Heartbeat,Baseline/final visit,Measured,,Standard 12-lead ECG- MAC 1200 electrocardiograph or an equivalent,
04 - Medical History,Anxiety disorder,anixietyhist,,,,,,,,
04 - Medical History,Asthma,asthmahist,,,,,,,,
04 - Medical History,Atrial fibrillation - history,afibhist,,,,,,,,
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,,,,,,,,
04 - Medical History,Cancer - history,cancerhist,,,,,,,,
04 - Medical History,Cardiac arrhythmia - history,arrhythmiahist,,,,,,,,
04 - Medical History,Cardiovascular disease - history,cvdishist,,,,,,,,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,,,,,,,,
04 - Medical History,Congestive heart failure - history,chfhist,,,,,,,,
04 - Medical History,Coronary artery disease - history,cadhist,,,,,,,,
04 - Medical History,Depression,depresshist,,,,,,,,
04 - Medical History,Diabetes mellitus - history,dmhist,,,,,,,,
04 - Medical History,Eating disorder,eatingdishist,,,,,,,,
04 - Medical History,Eczema,eczemahist,,,,,,,,
04 - Medical History,Gastroesophageal reflux disease,gerdhist,,,,,,,,
04 - Medical History,Hay fever,hayfevhist,,,,,,,,
04 - Medical History,Hypercholesterolemia - history,cholesthist,,,,,,,,
04 - Medical History,Hypertension - history,htnhist,,,,,,,,
04 - Medical History,Migraine headache,migrainehist,,,,,,,,
04 - Medical History,Myocardial infarction - history,mihist,,,,,,,,
04 - Medical History,Pacemaker placement,ppmhist,,,,,,,,
04 - Medical History,Seizure disorder/epilepsy - history,seizurehist,,,,,,,,
04 - Medical History,Stroke - history,strokehist,,,,,,,,
04 - Medical History,Taking cardiovascular medication,cvmedshist,,,,,,,,
04 - Medical History,Transient ischemic attack,tiahist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,,,,,,,,
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,,,,,,,,
04A - Medical History - Sleep Disorders,Narcolepsy,narcolephist,,,,,,,,
04A - Medical History - Sleep Disorders,Periodic limb movement disorder,plmdhist,,,,,,,,
04A - Medical History - Sleep Disorders,Restless legs syndrome,rlshist,,,,,,,,
04A - Medical History - Sleep Disorders,Sleep apnea,apneahist,,,,,,,,
04A - Medical History - Sleep Disorders,Use of an oral appliance,oralapphist,,,,,,,,
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,,,,,,,,
05 - Medications,5-Lipoxygenase Inhibitor,5lipoxinh,,,,,,,,
05 - Medications,Cholinesterase Inhibitor,cholinh,,,,,,,,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,,,,,,,,
05 - Medications,alpha-Glucosidase Inhibitor,alphaglucos,,,,,,,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,,,,,,,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,,,,,,,,
05 - Medications,Antiarrhythmic,antiarrhyth,,,,,,,,
05 - Medications,Anticholinergic,antichol,,,,,,,,
05 - Medications,Anti-coagulant,anticoag,,,,,,,,
05 - Medications,Atypical Antipsychotic,atypicalantipsychot,,,,,,,,
05 - Medications,Benzodiazepine,benzo,,,,,,,,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,,,,,,,,
05 - Medications,beta-Adrenergic Blocker,betablocker,,,,,,,,
05 - Medications,Biguanide,biguanide,,,,,,,,
05 - Medications,Bile Acid Sequestrant,bileacidseq,,,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,,,,,,,,
05 - Medications,Cardiac Glycoside,digitalis,,,,,,,,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,,,,,,,,
05 - Medications,Corticosteroid,corticoster,,,,,,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,,,,,,,,
05 - Medications,Dipeptidyl Peptidase 4 Inhibitor,dpp4inh,,,,,,,,
05 - Medications,Estrogen,estrogen,,,,,,,,
05 - Medications,GLP-1 Receptor Agonist,glp1agonist,,,,,,,,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,,,,,,,,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,,,,,,,,
05 - Medications,Hypercholesterolemia,cholloweragent,,,,,,,,
05 - Medications,Insulin,insulin,,,,,,,,
05 - Medications,Insulin Analog,insulinanalog,,,,,,,,
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag,,,,,,,,
05 - Medications,Loop Diuretic,loopdiuretic,,,,,,,,
05 - Medications,Low Molecular Weight Heparin,lmwheparin,,,,,,,,
05 - Medications,l-Thyroxine,thyroxine,,,,,,,,
05 - Medications,l-Triiodothyronine,triiodothy,,,,,,,,
05 - Medications,Monoamine Oxidase Inhibitor,moainhi,,,,,,,,
05 - Medications,Nicotinic Acid,nicotinicacid,,,,,,,,
05 - Medications,Nitrate Vasodilator,nitrated,,,,,,,,
05 - Medications,Nonergot Dopamine Agonist,nonergotdopam,,,,,,,,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,,,,,,,,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,,,,,,,,
05 - Medications,Platelet Aggregation Inhibitor,plateletedagginh,,,,,,,,
05 - Medications,Potassium Salt,potassiumsalt,,,,,,,,
05 - Medications,Potassium-sparing Diuretic,potassiumspardiur,,,,,,,,
05 - Medications,Progestin,progestin,,,,,,,,
05 - Medications,Proton Pump Inhibitor,ppi,,,,,,,,
05 - Medications,Sulfonylurea,sulfonylurea,,,,,,,,
05 - Medications,Sympathomimetic Amine Anorectic,sympathanorect,,,,,,,,
05 - Medications,Sympathomimetic-like Agent,sympathagent,,,,,,,,
05 - Medications,Thiazide Diuretic,thiazide,,,,,,,,
05 - Medications,Thiazolidinedione,tzd,,,,,,,,
05 - Medications,Tricyclic Antidepressant,tca,,,,,,,,
05 - Medications,Typical Antipsychotic,typicalantipsychot,,,,,,,,
05 - Medications,Unfractionated Heparin,unfractheparin,,,,,,,,
05 - Medications,Vasodilator,vasodilator,,,,,,,,
05 - Medications,Xanthine Oxidase Inhibitor,xanthoxidinh,,,,,,,,
06 - Health Habits,Alcohol consumption,alcohol,,,,,,,,
06 - Health Habits,Self reported bed time,selfrepbedtime,,,,,,,,
06 - Health Habits,Self reported wake time,selfrepwaketime,,,,,,,,
06 - Health Habits,Self reported sleep duration,selfrepsleepduration,,,,,,,,
06 - Health Habits,Smoking status,smoking,,,,,,,,
07 - Laboratory Data,Fasting glucose,fastingglucose,,,,,,,,
07 - Laboratory Data,Fasting insulin,fastinginsulin,,,,,,,,
07 - Laboratory Data,HDL cholesterol,hdlchol,,,,,,,,
07 - Laboratory Data,LDL cholesterol,ldlchol,,,,,,,,
07 - Laboratory Data,Total cholesterol,totalchol,,,,,,,,
07 - Laboratory Data,Triglycerides,triglyc,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type I,type1sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type II,type2sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type III,type3sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type IV,type4sleepstudy,,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Laboratory,labsleepstudy,,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Home,homesleepstudy,,,,,,,,
08B - Sleep Study Data - Time,Duration of sleep study,sleepstudyduration,totalhrs_emb,Total hours,,,,,,
08B - Sleep Study Data - Time,Duration of sleep study,sleepstudyduration,totalmin_emb,Total minutes,,,,,,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,sleepmin,Total Study Time Asleep,,,,,,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,sleeptotal,Total Study Time Asleep,,,,,,
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,,,,,,,,
08B - Sleep Study Data - Time,Sleep fragmentation index,sleepfragmentindex,,,,,,,,
08B - Sleep Study Data - Time,Sleep maintenance efficiency,sleepmaintefficiency,,,,,,,,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,,,,,,,,
08B - Sleep Study Data - Time,Time awake after sleep onset,timeawakeaftersleep,,,,,,,,
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,nca,Apnea/Hypopnea: Central Number,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,ncan,Apnea/Hypopnea: Central Non-Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,ncas,Apnea/Hypopnea: Central Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,aphyp,Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,aphypi,Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,aphypins,Non-Supine Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,aphypis,Supine Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,aphypns,Non-Supine Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,nevent,Apnea/Hypopnea: Total Number,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,neventn,Apnea/Hypopnea: Total Non-Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,nevents,Apnea/Hypopnea: Total Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,nmi,Apnea/Hypopnea: Mixed Number,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,nmin,Apnea/Hypopnea: Mixed Non-Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,nmis,Apnea/Hypopnea: Mixed Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,aphyps,Supine Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,ncaa,Apnea/Hypopnea: Central Apnea or Hypopnea per hour,Heartbeat,Baseline/final PSG,Calculated,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,neventa,Apnea/Hypopnea: Total Apnea or Hypopnea per hour,Heartbeat,Baseline/final PSG,Calculated,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,nmia,Apnea/Hypopnea: Mixed Apneas or Hypopneas per hour,Heartbeat,Baseline/final PSG,Calculated,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,napnea,Apnea/Hypopnea: Apnea Number,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,napnean,Apnea/Hypopnea: Apnea Non-Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,napneas,Apnea/Hypopnea: Apnea Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,aphyp,Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,aphypi,Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,aphypins,Non-Supine Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,aphypis,Supine Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,aphypns,Non-Supine Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,aphyps,Supine Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,noa,Apnea/Hypopnea: Obstructive Number,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,noan,Apnea/Hypopnea: Obstructive Non-Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,noas,Apnea/Hypopnea: Obstructive Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,nevent,Apnea/Hypopnea: Total Number,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,neventn,Apnea/Hypopnea: Total Non-Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,nevents,Apnea/Hypopnea: Total Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,nmi,Apnea/Hypopnea: Mixed Number,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,nmin,Apnea/Hypopnea: Mixed Non-Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive apnea events,osaevent,nmis,Apnea/Hypopnea: Mixed Supine,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,napneaa,Apnea/Hypopnea: Apnea Apnea or Hypopnea per hour,Heartbeat,Baseline/final PSG,Calculated,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,noaa,Apnea/Hypopnea: Obstructive Apneas or Hypopneas per hour,Heartbeat,Baseline/final PSG,Calculated,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,neventa,Apnea/Hypopnea: Total Apnea or Hypopnea per hour,Heartbeat,Baseline/final PSG,Calculated,,Embletta portable sleep monitoring system,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,nmia,Apnea/Hypopnea: Mixed Apneas or Hypopneas per hour,Heartbeat,Baseline/final PSG,Calculated,,Embletta portable sleep monitoring system,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,aphyp,Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,aphypi,Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,aphypins,Non-Supine Apnea + Hypopnea,Heartbeat,Baseline/final PSG,Measured,,Embletta portable sleep monitoring system,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,aphypis,Supine Apnea + Hypopnea,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,aphypns,Non-Supine Apnea + Hypopnea,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,aphyps,Supine Apnea + Hypopnea,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,nhyp,Apnea/Hypopnea: Hypopnea Number,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,nhypn,Apnea/Hypopnea: Hypopnea Non-Supine,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,nhyps,Apnea/Hypopnea: Hypopnea Supine,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,napneaa,Apnea/Hypopnea: Apnea Apnea or Hypopnea per hour,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,nhypa,Apnea/Hypopnea: Hypopnea Apneas or Hypopneas per hour,,,,,,
08C1C - Sleep Study Data - Respiratory - Events - Desaturation,Desaturation events,desatevent,ndesat,Oxygen Desaturation Events,,,,,,
08C1C - Sleep Study Data - Respiratory - Events - Desaturation,Desaturation events,desatevent,desati,Oxygen Desaturation Events,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi1,AHI 1,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi2,AHI 2,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index greater than or equal to 15,ahigteq15,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index greater than or equal to 5,caigteq5,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: all desaturations,caiall,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation,cai4percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation or arousal,cai4percentarousal,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea hypopnea index: 4% desaturation,oahi4percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation or arousal,oai4percentarousal,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations,rdiall,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations or arousal,rdiallarousal,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation,rdi2percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation or arousal,rdi2percentarousal,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation,rdi3percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation or arousal,rdi3percentarousal,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation,rdi4percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation or arousal,rdi4percentarousal,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation,rdi5percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation or arousal,rdi5percentarousal,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: all desaturations,rdisupall,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 2% desaturation,rdisup2percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 3% desaturation,rdisup3percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 4% desaturation,rdisup4percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 5% desaturation,rdisup5percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: all desaturations,rdinonsupall,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 2% desaturation,rdinonsup2percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 3% desaturation,rdinonsup3percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 4% desaturation,rdinonsup4percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 5% desaturation,rdinonsup5percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM: all desaturations,rdiremall,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 2% desaturation,rdirem2percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 3% desaturation,rdirem3percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 4% desaturation,rdirem4percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 5% desaturation,rdirem5percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM: all desaturations,rdinremall,,,,,,,,
