category,display_name,id,mros,definition,source,time,method,formula,equipment,link
03 - Physiological Measurements,Heart rate,heartrate,hwpulsem,Mean pulse,MrOS,In Clinic Visit 2,calculated,,Anthropometry Form ( MrOS 2),
03 - Physiological Measurements,Heart rate,heartrate,hwpulset,Pulse 1 + pulse 2,MrOS,In Clinic Visit 2,measured ,,Anthropometry Form ( MrOS 2),
03 - Physiological Measurements,Systolic blood pressure,systolicbp,bpbpsys,Sitting measurement 1: Systolic,MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,"Anthropometry Form ( MrOS 1/MrOS 2) - mercury sphygmomanometer, stethoscope, and BP cuff",
03 - Physiological Measurements,Systolic blood pressure,systolicbp,bpbpsys2,Sitting measurement 2: Systolic,MrOS,In Clinic Vistit 1/In Clinic Visit 2,measured ,,"Anthropometry Form ( MrOS 1/MrOS 2) - mercury sphygmomanometer, stethoscope, and BP cuff",
03 - Physiological Measurements,Systolic blood pressure,systolicbp,bpbpsysm,Average systolic blood pressure,MrOS,In Clinic Visit 1,calculated,,"Anthropometry Form ( MrOS 1) - mercury sphygmomanometer, stethoscope, and BP cuff",
03A - Physiological Measurements - Electrocardiogram,Atrial fibrillation - electrocardiogram,afibekg,,,,,,,,
04 - Medical History,Anxiety disorder,anixietyhist,,,,,,,,
04 - Medical History,Asthma,asthmahist,mhasthm,Has a doctor or other health care provider ever told you that you had asthma?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Asthma,asthmahist,mhasthmt,Are you currently being treated for asthma by a doctor?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Atrial fibrillation - history,afibhist,mhafib,Ever diagnosed with atrial fibrillation/flutter?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Attention deficit hyperactivity disorder,adhdhist,,,,,,,,
04 - Medical History,Cancer - history,cancerhist,,,,,,,,
04 - Medical History,Cardiac arrhythmia - history,arrhythmiahist,cvpace,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as a pacemaker implant?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiac arrhythmia - history,arrhythmiahist,mhhr,Doctor ever told you that you have problems with your heart rate?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvaorane,"Have you ever had any medical or surgical procedure in your heart, neck, or blood vessels, such as repair of aortic aneurysm?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvrhd,QHas a doctor or other health care provider ever told you that you had rheumatic heart disease or valvular heart disease?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvrhdt,Are you currently being treated for rheumatic heart disease or valvular heart disease by a doctor?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvsurgbv,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as carotid endarterectomy, which is surgery on the blood vessels in your neck?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvvalve,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as a replacement of a heart valve?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,mhchf,Has a doctor or other health care provider ever told you that you had congestive heart failure or enlarged heart?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,mhchft,Are you currently being treated for congestive heart failure or enlarged heart by a doctor?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvapcora,"Have you ever had any medical or surgical procedure in your heart, neck, or blood vessels, such as angioplasty of coronary arteries, which is a dilation of arteries of the heart with a balloon?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvcabg,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as coronary bypass surgery, heart bypass, or CABG??",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvchd,Had previous history of coronary heart disease?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvrose,Rose Angina Pectoris present,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvsurg,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as angioplasty or bypass surgery?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,mhangin,Has a doctor or other health care provider ever told you that you had angina (chest pain)?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,mhangint,Are you currently being treated for angina (chest pain) by a doctor?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,mhmi,"Has a doctor or other health care provider ever told you that you had a heart attack, coronary or myocardial infarction?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,mhmit,"Are you currently being treated for a heart attack, coronary or myocardial infarction by a doctor?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvpace,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as a pacemaker implant?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvcer,Had previous history of cerebrovascular?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,mhstrk,"Has a doctor or other health care provider ever told you that you had a stroke, blood clot in the brain or bleeding in the brain?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,mhstrkt,"Are you currently being treated for a stroke, blood clot in the brain or bleeding in the brain, by a doctor?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvtia,"Has a doctor or other health care provider ever told you that you had TIA, transient ischemic attack, or mini-stroke?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvtiat,"Are you currently being treated for TIA, transient ischemic attack, or mini-stroke by a doctor?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvaplow,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as angioplasty of lower extremity arteries, which is a dilation of arteries of the leg with a balloon?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvblka,Has a doctor or other health care provider ever told you that you had intermittent claudication of pain in your legs from a blockage of the arteries?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvblkat,Are you currently being treated for intermittent claudication of pain in your legs from a blockage of the arteries by a doctor?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvbplegs,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as a bypass procedure on the arteries of your legs?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiovascular disease - history,cvdishist,cvpvd,Had previous history of peripheral arterial?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,mhbronc,Has a doctor or other health care provider ever told you that you had chronic bronchitis?,MrOS,In Clinic Vistit 1,Physician diagnosed (self reported),,Medical History Form (MrOS 1),
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,mhbronct,Are you currently being treated for chronic bronchitis by a doctor?,MrOS,In Clinic Vistit 1,Reported by subject,,Medical History Form (MrOS 1),
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,mhcobpd,"Has a doctor or other health care provider ever told you that you had COPD, chronic obstructive lung disease, or emphysema?",MrOS,In Clinic Vistit 1,Physician diagnosed (self reported),,Medical History Form (MrOS 1),
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,mhcobpdt,"Are you currently being treated for COPD, chronic obstructive lung disease, or emphysema?",MrOS,In Clinic Vistit 1,Reported by subject,,Medical History Form (MrOS 1),
04 - Medical History,Congestive heart failure - history,chfhist,mhchf,Has a doctor or other health care provider ever told you that you had congestive heart failure or enlarged heart?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Congestive heart failure - history,chfhist,mhchft,Are you currently being treated for congestive heart failure or enlarged heart by a doctor?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Coronary artery disease - history,cadhist,cvapcora,"Have you ever had any medical or surgical procedure in your heart, neck, or blood vessels, such as angioplasty of coronary arteries, which is a dilation of arteries of the heart with a balloon?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Coronary artery disease - history,cadhist,cvcabg,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as coronary bypass surgery, heart bypass, or CABG??",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Coronary artery disease - history,cadhist,cvchd,Had previous history of coronary heart disease?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Coronary artery disease - history,cadhist,cvrose,Rose Angina Pectoris present,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1),
04 - Medical History,Coronary artery disease - history,cadhist,cvsurg,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as angioplasty or bypass surgery?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Coronary artery disease - history,cadhist,mhangin,Has a doctor or other health care provider ever told you that you had angina (chest pain)?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Coronary artery disease - history,cadhist,mhangint,Are you currently being treated for angina (chest pain) by a doctor?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Depression,depresshist,mhdepr,Has a doctor or other health care provider ever told you that you had depression?,MrOS,In Clinic Visit 2,Physician diagnosed (self reported),,,
04 - Medical History,Depression,depresshist,mhdeprt,Are you currently being treated for depression by a doctor?,MrOS,In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Diabetes mellitus - history,dmhist,d1cdiabjh,Categorical calculated variable for diabetes,MrOS,In Clinic Vistit 1,calculated,,,
04 - Medical History,Diabetes mellitus - history,dmhist,d1diabjh,Binary calculated variable for diabetes,MrOS,In Clinic Vistit 1,calculated,,,
04 - Medical History,Diabetes mellitus - history,dmhist,mhdiab,Has a doctor or other health care provider ever told you that you had diabetes?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Diabetes mellitus - history,dmhist,mhdiabt,Are you currently being treated for diabetes by a doctor?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Eating disorder,eatingdishist,,,,,,,,
04 - Medical History,Eczema,eczemahist,,,,,,,,
04 - Medical History,Gastroesophageal reflux disease,gerdhist,,,,,,,,
04 - Medical History,Hay fever,hayfevhist,,,,,,,,
04 - Medical History,Hypercholesterolemia - history,cholesthist,,,,,,,,
04 - Medical History,Hypertension - history,htnhist,mhbp,Has a doctor or other health care provider ever told you that you had hypertension of high blood pressure?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Hypertension - history,htnhist,mhbpt,Are you currently being treated for hypertension of high blood pressure by a doctor?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Migraine headache,migrainehist,,,,,,,,
04 - Medical History,Myocardial infarction - history,mihist,mhmi,"Has a doctor or other health care provider ever told you that you had a heart attack, coronary or myocardial infarction?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Myocardial infarction - history,mihist,mhmit,"Are you currently being treated for a heart attack, coronary or myocardial infarction by a doctor?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Pacemaker placement,ppmhist,cvpace,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as a pacemaker implant?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Seizure disorder/epilepsy - history,seizurehist,,,,,,,,
04 - Medical History,Stroke - history,strokehist,cvcer,Had previous history of cerebrovascular?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Stroke - history,strokehist,mhstrk,"Has a doctor or other health care provider ever told you that you had a stroke, blood clot in the brain or bleeding in the brain?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Stroke - history,strokehist,mhstrkt,"Are you currently being treated for a stroke, blood clot in the brain or bleeding in the brain, by a doctor?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Taking cardiovascular medication,cvmedshist,,,,,,,,
04 - Medical History,Transient ischemic attack,tiahist,cvtia,"Has a doctor or other health care provider ever told you that you had TIA, transient ischemic attack, or mini-stroke?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Transient ischemic attack,tiahist,cvtiat,"Are you currently being treated for TIA, transient ischemic attack, or mini-stroke by a doctor?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Peripheral vascular disease,pvdhist,cvaplow,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as angioplasty of lower extremity arteries, which is a dilation of arteries of the leg with a balloon?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Peripheral vascular disease,pvdhist,cvblka,Has a doctor or other health care provider ever told you that you had intermittent claudication of pain in your legs from a blockage of the arteries?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Peripheral vascular disease,pvdhist,cvblkat,Are you currently being treated for intermittent claudication of pain in your legs from a blockage of the arteries by a doctor?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Peripheral vascular disease,pvdhist,cvbplegs,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as a bypass procedure on the arteries of your legs?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Peripheral vascular disease,pvdhist,cvpvd,Had previous history of peripheral arterial?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,cvsurgbv,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as carotid endarterectomy, which is surgery on the blood vessels in your neck?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,cvapcora,"Have you ever had any medical or surgical procedure in your heart, neck, or blood vessels, such as angioplasty of coronary arteries, which is a dilation of arteries of the heart with a balloon?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,cvcabg,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as coronary bypass surgery, heart bypass, or CABG??",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,cvsurg,"Have you ever had any medical or surgical procedure in your heart, neck or blood vessels, such as angioplasty or bypass surgery?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Angina pectoris,anginahist,cvrose,Rose Angina Pectoris present,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1),
04 - Medical History,Angina pectoris,anginahist,mhangin,Has a doctor or other health care provider ever told you that you had angina (chest pain)?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Angina pectoris,anginahist,mhangint,Are you currently being treated for angina (chest pain) by a doctor?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04 - Medical History,Cardiac arrest - history,cardarresthist,,,,,,,,
04 - Medical History,Bariatric surgery,bariatrichist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,,,,,,,,
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,slssurg,Have you had surgery as treatment for you sleep apnea?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,slinsomn,Has a doctor or health care provider ever told you that you have insomnia?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04A - Medical History - Sleep Disorders,Narcolepsy,narcolephist,slnarc,Has a doctor or health care provider ever told you that you had narcolepsy?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04A - Medical History - Sleep Disorders,Periodic limb movement disorder,plmdhist,slperleg,Has a doctor or health care provider ever told you that you have periodic leg movements?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
