category,display_name,id,cfs,definition,source,time,method,formula,equipment,link
04 - Medical History,Cardiovascular disease - history,cvdishist,cvdx,Self-report of a physician diagnosis of cardiovascular disease (missing recoded as no),CFS,Visit 5,Physician diagnosed (self reported),,,
04 - Medical History,Cardiovascular disease - history,cvdishist,headiag,Physician-diagnosed Other Heart Disease,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Cardiovascular disease - history,cvdishist,hrtdiag,Physician-diagnosed Myocardial Infarction,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,brodiag,Physician-diagnosed Chronic Bronchitis,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Chronic obstructive pulmonary disease/emphysema - history,copdhist,empdiag,Physician-diagnosed Emphysema,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Congestive heart failure - history,chfhist,htfdiag,Physician-diagnosed Congestive Heart Failure,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Coronary artery disease - history,cadhist,angdiag,Physician-diagnosed Angina pectoris or Chest Pain from a heart condition,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Coronary artery disease - history,cadhist,angiop,Coronary Angioplasty,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Coronary artery disease - history,cadhist,bypass,Coronary Bypass,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Depression,depresshist,depdiag,Physician-diagnosed Depression,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Depression,depresshist,antidepr,Antidepressant in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Diabetes mellitus - history,dmhist,diabetes1,Diabetes medication or abnormal fasting or abnormal oral glucose tolerance test reading,CFS,Visit 5,,,,
04 - Medical History,Diabetes mellitus - history,dmhist,diabetes2,Physician diagnosis of diabetes or diabetes medication usage or abnormal fasting,CFS,Visit 5,Physician diagnosed (self reported) or diabetes medication use,,,
04 - Medical History,Diabetes mellitus - history,dmhist,diabetes3,Diabetes: Diagnosed using broad criteria,CFS,Visit 5,,,,
04 - Medical History,Diabetes mellitus - history,dmhist,diabetesdx,Self report of a physician diagnosis of diabetes,CFS,Visit 5,Physician diagnosed (self reported),,,
04 - Medical History,Diabetes mellitus - history,dmhist,diabetesx,Self-report of a physician diagnosis of diabetes or diabetes medication use,CFS,Visit 5,Physician diagnosed (self reported) or diabetes medication use,,,
04 - Medical History,Diabetes mellitus - history,dmhist,diadiag,Physician-diagnosed Diabetes,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Eating disorder,eatingdishist,,,,,,,,
04 - Medical History,Eczema,eczemahist,eczdiag,Physician-diagnosed Eczema,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Gastroesophageal reflux disease,gerdhist,,,,,,,,
04 - Medical History,Hay fever,hayfevhist,haydiag,Physician-diagnosed Hay Fever,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Hypercholesterolemia - history,cholesthist,diachol,Physician-diagnosed Elevated Cholesterol,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Hypertension - history,htnhist,bpdiag,Physician-diagnosed High Blood Pressure,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Hypertension - history,htnhist,hibloodp,High Blood Pressure,CFS,Visit 5,Measured,,Sphygnomanometer - mercury,
04 - Medical History,Hypertension - history,htnhist,htn,Abnormal blood pressure (systolic greater than 140 or diastolic greater than 90) or medication,CFS,Visit 5,Assessed,,Sphygnomanometer - mercury; or medication use,
04 - Medical History,Hypertension - history,htnhist,htndx,Self-report of a physician diagnosis of hypertension,CFS,Visit 5,Physician diagnosed (self reported),,,
04 - Medical History,Hypertension - history,htnhist,htnx,Self-report of a physician diagnosis of hypertension or abnormal blood pressure reading,CFS,Visit 5,Physician diagnosed (self reported) or measured,,Sphygnomanometer - mercury,
04 - Medical History,Hypertension - history,htnhist,bpmed3dy,Blood pressure medications in last 3 days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Hypertension - history,htnhist,bpmedx,"Self-report of blood pressure medication usage, or on a specified medication",CFS,Visit 5,Reported by subject/parent or guardian,,,
04 - Medical History,Hypertension - history,htnhist,bpmedyr,Blood pressure medicine in last yr,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Migraine headache,migrainehist,,,,,,,,
04 - Medical History,Myocardial infarction - history,mihist,hrtdiag,Physician-diagnosed Myocardial Infarction,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Pacemaker placement,ppmhist,pacemak,Implant of Cardiac Pacemaker,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Seizure disorder/epilepsy - history,seizurehist,,,,,,,,
04 - Medical History,Stroke - history,strokehist,cerebdisease,Cerebrovascular disease,CFS,Visit 5,,,,
04 - Medical History,Stroke - history,strokehist,endart,Carotid Surgery (Endarterectomy),CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Stroke - history,strokehist,strodiag,Physician-diagnosed Stroke (CVA),CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Taking cardiovascular medication,cvmedshist,,,,,,,,
04 - Medical History,Transient ischemic attack,tiahist,cerebdisease,Cerebrovascular disease,CFS,Visit 5,,,,
04 - Medical History,Transient ischemic attack,tiahist,endart,Carotid Surgery (Endarterectomy),CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Transient ischemic attack,tiahist,tiadiag,Physician-diagnosed TIA (Transient Ischemic Attack),CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Peripheral vascular disease,pvdhist,,,,,,,,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,angioage,Age Diagnose Coronary Angioplasty,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,angiop,Coronary Angioplasty,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,bypasage,Age Diagnosed Coronary Bypass,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,"Revascularization (PTCA, CABG) - history",revaschist,bypass,Coronary Bypass,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Angina pectoris,anginahist,angage,Age Diagnosed Chest Pain from a heart condition,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Angina pectoris,anginahist,angdiag,Physician-diagnosed Angina pectoris or Chest Pain from a heart condition,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04 - Medical History,Cardiac arrest - history,cardarresthist,,,,,,,,
04 - Medical History,Bariatric surgery,bariatrichist,,,,,,,,
04A - Medical History - Sleep Disorders,History of adenoidectomy,adenoidhist,adendiag,Adenoidectomy,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04A - Medical History - Sleep Disorders,History of adenotonsillectomy ,adenoidtonsilhist,tonsaden,Tonsils/adenoids removed,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04A - Medical History - Sleep Disorders,History of tonsillectomy,tonsilhist,tonsdiag,Tonsillectomy,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,surguppp,Ever had UPPP surgery,CFS,Visit 5,,,,
04A - Medical History - Sleep Disorders,History of uvulopalatoplasty/oral surgery,upphist,uppp,UPPP surgery recommended or undergone,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04A - Medical History - Sleep Disorders,Insomnia,insomniahist,insodiag,Physician-diagnosed Insomnia,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04A - Medical History - Sleep Disorders,Narcolepsy,narcolephist,dianarc,Physician-diagnosed Narcolepsy,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04A - Medical History - Sleep Disorders,Periodic limb movement disorder,plmdhist,dialegs,Physician-diagnosed Restless Legs or PLMs,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04A - Medical History - Sleep Disorders,Restless legs syndrome,rlshist,dialegs,Physician-diagnosed Restless Legs or PLMs,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04A - Medical History - Sleep Disorders,Sleep apnea,apneahist,slapndia,Physician-diagnosed Sleep Apnea,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
04A - Medical History - Sleep Disorders,Use of an oral appliance,oralapphist,,,,,,,,
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,,,,,,,,
05 - Medications,5-Lipoxygenase Inhibitor,5lipoxinh,asthplyr,Breathing pills in last year,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,5-Lipoxygenase Inhibitor,5lipoxinh,astpl3dy,Breathing pills in last 3 days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Cholinesterase Inhibitor,cholinh,,,,,,,,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,,,,,,,,
05 - Medications,alpha-Glucosidase Inhibitor,alphaglucos,,,,,,,,
05 - Medications,Aldosterone Receptor Blocker,aldostblocker,,,,,,,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,,,,,,,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,aceinhib,ACE Inhibitors in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Antiarrhythmic,antiarrhyth,antiarrh,Antiarrhythmic in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Anticholinergic,antichol,asthspyr,Breathing sprays in last year,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Anticholinergic,antichol,astsp3dy,Breathing spray in last 3 days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Anticholinergic,antichol,inbronch,Inhaled bronchodilator in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Anti-coagulant,anticoag,blodthin,Coumadin (blood thinner) in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Atypical Antipsychotic,atypicalantipsychot,,,,,,,,
05 - Medications,Benzodiazepine,benzo,tquilize,Tranquilizers in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Benzodiazepine,benzo,tranq3dy,Tranquilizers in last 3 days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Benzodiazepine,benzo,tranquyr,Tranquilizer in last yr,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,asthspyr,Breathing sprays in last year,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,astsp3dy,Breathing spray in last 3 days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,inbronch,Inhaled bronchodilator in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,beta-Adrenergic Blocker,betablocker,betbloc,Beta-blocker in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Biguanide,biguanide,oralgluc,Oral Hypoglycemic in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Bile Acid Sequestrant,bileacidseq,,,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,calcbloc,Calcium blocker in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Cardiac Glycoside,digitalis,digoxin,Digoxin in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,phenterm,Phentermine in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,stim3dy,Stimulants in last 3 days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,stimyr,Stimulant in last yr,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Corticosteroid,corticoster,insteroi,Inhaled steroids in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Corticosteroid,corticoster,oralster,Steroids taken orally in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,,,,,,,,
05 - Medications,Dipeptidyl Peptidase 4 Inhibitor,dpp4inh,,,,,,,,
05 - Medications,Estrogen,estrogen,combipat,Ever use Combipatch,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Estrogen,estrogen,estrace,Ever use Estrace,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Estrogen,estrogen,estrate,Ever use Estratest,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Estrogen,estrogen,femhrt,Ever use FemHRT,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Estrogen,estrogen,hormones,Have you ever used prescription female hormones?,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Estrogen,estrogen,ogen,Ever use Ogen,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Estrogen,estrogen,othestro,Ever use Other Estrogen,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Estrogen,estrogen,othhpill,Ever use Other hormones or birth control pills?,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Estrogen,estrogen,othpilsp,Ever use specify OCP,CFS,Visit 5,,,,
05 - Medications,Estrogen,estrogen,patchest,Ever use patch estrogen,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Estrogen,estrogen,premarin,Ever use oral Premarin,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Estrogen,estrogen,vagestro,Ever use vaginal estrogen,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,GLP-1 Receptor Agonist,glp1agonist,,,,,,,,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,cimetidi,Cimetidine in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,h2bloc,Other H2 Blocker in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,chollowd,Cholesterol lowering drugs in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,othchldr,Other cholesterol lowering drug in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,statins,Use of cholesterol lowering drugs,CFS,Visit 5,,,,
05 - Medications,Hypercholesterolemia,cholloweragent,chollowd,Cholesterol lowering drugs in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Hypercholesterolemia,cholloweragent,othchldr,Other cholesterol lowering drug in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Hypercholesterolemia,cholloweragent,statins,Use of cholesterol lowering drugs,CFS,Visit 5,,,,
05 - Medications,Insulin,insulin,insulin,Insulin in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Insulin Analog,insulinanalog,insulin,Insulin in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag,asthplyr,Breathing pills in last year,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag,astpl3dy,Breathing pills in last 3 days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Loop Diuretic,loopdiuretic,h2opl3dy,Water pills in last 3 days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,Low Molecular Weight Heparin,lmwheparin,,,,,,,,
05 - Medications,l-Thyroxine,thyroxine,thryd,Thyroid in the last three days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,l-Thyroxine,thyroxine,thyrm3dy,Thyroid medications in last 3 days,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,l-Thyroxine,thyroxine,thyrmdyr,Thyroid medicines in last yr,CFS,Visit 5,Reported by subject/parent or guardian,,CFS- adult and child baseline lab questionnaire,
05 - Medications,l-Triiodothyronine,triiodothy,,,,,,,,
