category,display_name,id,mesa,definition,source,time,method,formula,equipment,link
04A - Medical History - Sleep Disorders,Sleep related movement disorder due to a medical disorder,sleepmddisordhist,,,,,,,,
04A - Medical History - Sleep Disorders,Sleep related movement disorder due to a medication or substance,sleepmdmedsubhist,,,,,,,,
04A - Medical History - Sleep Disorders,"Sleep related movement disorder, unspecified",sleepmdhist,,,,,,,,
05 - Medications,5-Lipoxygenase Inhibitor,5lipoxinh,,,,,,,,
05 - Medications,Cholinesterase Inhibitor,cholinh,,,,,,,,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,alpha5c,Alpha-Blockers Without Diuretics,,,,,,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,alphad5c,Alpha-Blockers With Diuretics,,,,,,
05 - Medications,alpha-Glucosidase Inhibitor,alphaglucos,agdi5c,Alpha-Glucosidase Inhibitors,,,,,,
05 - Medications,Aldosterone Receptor Blocker,aldostblocker,,,,,,,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,a2a5c,Angiotensin Type 2 Antagonists,,,,,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,a2ad5c,Combinations Of Angiotensin Ii Antagonists Plus Diuretics,,,,,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,ace5c,Ace Inhibitors Without Diuretics,,,,,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,aced5c,Ace Inhibitors With Diuretics,,,,,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,alzh5c,Acetylcholine Esterase Inhibitors For Alzheimers,,,,,,
05 - Medications,Antiarrhythmic,antiarrhyth,anar1a5c,"Anti-Arrhythmics, Class 1A",,,,,,
05 - Medications,Antiarrhythmic,antiarrhyth,anar1b5c,"Anti-Arrhythmics, Class 1B",,,,,,
05 - Medications,Antiarrhythmic,antiarrhyth,anar1c5c,"Anti-Arrhythmics, Class 1C",,,,,,
05 - Medications,Antiarrhythmic,antiarrhyth,anar35c,"Anti-Arrhythmics, Class 3",,,,,,
05 - Medications,Anticholinergic,antichol,iprtr5c,Anticholinergics + Combination With Beta2-Agonist (121200),,,,,,
05 - Medications,Anti-coagulant,anticoag,warf5c,Oral Anticoagulants,,,,,,
05 - Medications,Atypical Antipsychotic,atypicalantipsychot,apsy5c,Anti-Psychotic Medications,,,,,,
05 - Medications,Benzodiazepine,benzo,benzod5c,Benzodiazepines,,,,,,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,iprtr5c,Anticholinergics + Combination With Beta2-Agonist (121200),,,,,,
05 - Medications,beta-Adrenergic Blocker,betablocker,beta5c,Beta-Blockers Without Diuretics,,,,,,
05 - Medications,beta-Adrenergic Blocker,betablocker,betad5c,Beta-Blockers With Diuretics,,,,,,
05 - Medications,Biguanide,biguanide,bgnd5c,Biguanides,,,,,,
05 - Medications,Bile Acid Sequestrant,bileacidseq,basq5c,Bile-Acid Sequestrants,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,ccb5c,Any Calcium-Channel Blocker = CCIR Or CCBSR Or CCBT,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,ccbir5c,Immediate-Release CCBs = NIFIR Or DIHIR Or VERIR Or DLTIR,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,ccbsr5c,Slow-Release CCBs = NISFR Or DIHSR Or VERSR Or DLTSR Or AMLOD,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,ccbt5c,T-Type Calcium-Channel Blocker,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,dltir5c,Immediate-Release Diltiazem,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,dltsr5c,Slow-Release Diltiazem,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,verir5c,Immediate-Release Verapamil,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,versr5c,Slow-Release Verapamil,,,,,,
05 - Medications,Cardiac Glycoside,digitalis,,,,,,,,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,,,,,,,,
05 - Medications,Corticosteroid,corticoster,istrd5c,Inhaled Steroids For Asthma,,,,,,
05 - Medications,Corticosteroid,corticoster,ostrd5c,Oral Steroids,,,,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,amlod5c,Amlodipine,,,,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,dihir5c,Immediate-Release Dihyropyridines Other Than Nifedipine,,,,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,dihsr5c,Slow-Release Dihydropyridines Other Than Nifedipine Or Amlopidine,,,,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,nifir5c,Immediate-Release Nifedipine,,,,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,nifsr5c,Slow-Release Nifedipine,,,,,,
05 - Medications,Dipeptidyl Peptidase 4 Inhibitor,dpp4inh,dpp4i5c,Dipeptidyl Peptidase-4 Inhibitor,,,,,,
05 - Medications,Estrogen,estrogen,estrgn5c,"Estrogens, Excluding Vaginal Creams",,,,,,
05 - Medications,Estrogen,estrogen,prmrn5c,Premarin (Conjugated Estrogens),,,,,,
05 - Medications,GLP-1 Receptor Agonist,glp1agonist,,,,,,,,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,h2b5c,H-2 Blockers,,,,,,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,otch2b5c,Over-The-Counter H-2 Blockers,,,,,,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,sttn5c,HmgCoa Reducatace Inhibitors (Statins),,,,,,
05 - Medications,Hypercholesterolemia,cholloweragent,,,,,,,,
05 - Medications,Insulin,insulin,insln5c,Insulins,,,,,,
05 - Medications,Insulin Analog,insulinanalog,,,,,,,,
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag,oaia5c,Oral Anti-Inflammatory Asthma Drugs Leukotriene Receptor Antagonists And Inhibitors Of Lipo-Oxygenase,,,,,,
05 - Medications,Loop Diuretic,loopdiuretic,loop5c,Loop Diuretics,,,,,,
05 - Medications,Low Molecular Weight Heparin,lmwheparin,hprns5c,Heparins,,,,,,
05 - Medications,l-Thyroxine,thyroxine,thry5c,Thyroid Agents,,,,,,
05 - Medications,l-Triiodointhyronine,triiodointhy,thry5c,Thyroid Agents,,,,,,
05 - Medications,Monoamine Oxidase Inhibitor,moainhi,maoi5c,Mao Inhibitors,,,,,,
05 - Medications,Nicotinic Acid,nicotinicacid,niac5c,Niacin And Nictotinic Acid,,,,,,
05 - Medications,Nitrate Vasodilator,nitrated,ntg5c,Nitrates,,,,,,
05 - Medications,Nonergot Dopamine Agonist,nonergotdopam,,,,,,,,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,nsaid5c,"Non-Steriodal Anti-Inflammatory Agents, Excluding Aspirin",,,,,,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,edd5c,Erectile Dysfunction Drugs,,,,,,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,pdei5c,Phosphodiesterase Inhibitors,,,,,,
05 - Medications,Platelet Aggregation Inhibitor,plateletedagginh,adpi5c,Inhibitors Of ADP-Induced Platelet Aggregation,,,,,,
05 - Medications,Potassium Salt,potassiumsalt,kcl5c,Potassium Supplements,,,,,,
05 - Medications,Potassium-sparing Diuretic,potassiumspardiur,kspr5c,Potassium-Sparing Agents Alone,,,,,,
05 - Medications,Progestin,progestin,prgstn5c,Progestins,,,,,,
05 - Medications,Proton Pump Inhibitor,ppi,ppi5c,Proton Pump Inhibitors,,,,,,
05 - Medications,Sulfonylurea,sulfonylurea,kblkr5c,K-Channel Blockers To Enhance Insulin Secretion For Diabetics,,,,,,
05 - Medications,Sulfonylurea,sulfonylurea,ohga5c,Oral Hypoglycemic Agents,,,,,,
05 - Medications,Sulfonylurea,sulfonylurea,slf15c,First Generation Sulfonylureas,,,,,,
05 - Medications,Sulfonylurea,sulfonylurea,slf25c,Second Generation Surlfonylureas,,,,,,
05 - Medications,Sympathomimetic Amine Anorectic,sympathanorect,wtls5c,Weight Loss Drugs,,,,,,
05 - Medications,Sympathomimetic-like Agent,sympathagent,sympth5c,"Sympathomimetics, Oral And Inhaled",,,,,,
05 - Medications,Thiazide Diuretic,thiazide,hctz5c,Thiazide Diuretics Without K-Sparing Agents,,,,,,
05 - Medications,Thiazide Diuretic,thiazide,hctzk5c,Thiazide Diuretics With K-Sparing Agents,,,,,,
05 - Medications,Thiazolidinedione,tzd,thzd5c,Thiazolidinediones,,,,,,
05 - Medications,Tricyclic Antidepressant,tca,tca5c,Tricyclic Anti-Depressants,,,,,,
05 - Medications,Tricyclic Antidepressant,tca,tcap5c,Tri-Cyclic Anti-Depressants Plus Anti-Psychotics,,,,,,
05 - Medications,Typical Antipsychotic,typicalantipsychot,apsy5c,Anti-Psychotic Medications,,,,,,
05 - Medications,Unfractionated Heparin,unfractheparin,hprns5c,Heparins,,,,,,
05 - Medications,Vasodilator,vasodilator,vaso5c,"Vasodilators, A Mixed Group",,,,,,
05 - Medications,Vasodilator,vasodilator,vasod5c,"Vasodilators With Diuretics, A Mixed Group",,,,,,
05 - Medications,Xanthine Oxidase Inhibitor,xanthoxidinh,xoi5c,Xanthine Oxidase Inhibitors,,,,,,
06 - Health Habits,Alcohol consumption,alcohol,curalc5,Presently Drink Alcohol,,,,,,
06 - Health Habits,Self reported bed time,selfrepbedtime,,,,,,,,
06 - Health Habits,Self reported wake time,selfrepwaketime,,,,,,,,
06 - Health Habits,Self reported sleep duration,selfrepsleepduration,,,,,,,,
06 - Health Habits,Smoking status,smoking,smkstat5,Current Smoking Status,,,,,,
06 - Health Habits,Smoking status,smoking,cig5c,"Cigarette Smoking Status, Exam 5",,,,,,
06 - Health Habits,Pack years,packyears,pkyrs5c,Exam 5 Pack-Years Of Cigarette Smoking,,,,,,
06 - Health Habits,Caffeine intake,caffeineintake,,,,,,,,
07 - Laboratory Data,Fasting glucose,fastingglucose,glucose5,Fasting Glucose (mg/dl),,,,,,
07 - Laboratory Data,Fasting insulin,fastinginsulin,insulin5,Serum Insulin (mu/l),,,,,,
07 - Laboratory Data,HDL cholesterol,hdlchol,hdl5,Hdl Cholestrol (mg/dl),,,,,,
07 - Laboratory Data,HDL cholesterol,hdlchol,hdlcat5c,"Hdl Cholesterol, NCEP Categories",,,,,,
07 - Laboratory Data,LDL cholesterol,ldlchol,ldl5,Ldl Cholesterol (mg/dl),,,,,,
07 - Laboratory Data,LDL cholesterol,ldlchol,ldlcat5c,"Ldl Cholesterol, NCEP Categories",,,,,,
07 - Laboratory Data,Total cholesterol,totalchol,chol5,Total Cholesterol (mg/dl),,,,,,
07 - Laboratory Data,Total cholesterol,totalchol,chlcat5c,"Total Cholesterol, NCEP Categories",,,,,,
07 - Laboratory Data,Triglycerides,triglyc,trig5,Triglycerides (mg/dl),,,,,,
07 - Laboratory Data,Triglycerides,triglyc,tricat5c,"Triglycerides, NCEP Categories",,,,,,
07 - Laboratory Data,Hemoglobin A1c,hba1c,hba1c5,Serum Hemoglobin A1C,,,,,,
07 - Laboratory Data,Creatinine,creatinine,creatin5,Serum Creatinine (mg/dl),,,,,,
07 - Laboratory Data,Creatinine clearance,creatinineclear,egfr5c,Exam 5 Egfr Using Mdrd Equation (ml/min/1.73 m2) (GFR),,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type I,type1sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type II,type2sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type III,type3sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type IV,type4sleepstudy,,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Laboratory,labsleepstudy,,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Home,homesleepstudy,,,,,,,,
08B - Sleep Study Data - Time,Duration of sleep study,sleepstudyduration,stdurm5,Study Length (Epoch 1 To Last Epoch- Minutes),MESA,Exam 5,Measured,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,slpprdp5,Total Sleep Time (minutes),MESA,Exam 5,Measured,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,slp_eff5,Calculated - Sleep Efficiency %,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08B - Sleep Study Data - Time,Sleep fragmentation index,sleepfragmentindex,,,,,,,,
08B - Sleep Study Data - Time,Sleep maintenance efficiency,sleepmaintefficiency,slp_maint_eff5,PSG: Sleep Maintenance Efficiency,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,stonsetp5,Sleep Onset Time (hh:mm:ss),MESA,Exam 5,Measured,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,stonset15,Sleep Onset (Start Of Sleep- hh:mm:ss) - Scorer,MESA,Exam 5,Measured,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,slp_lat5,Sleep Onset Latency (minutes): Time Between Getting In Bed And Falling Asleep,MESA,Exam 5,Measured,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08B - Sleep Study Data - Time,Time awake after sleep onset,timeawakeaftersleep,waso5,Calculated - Wake After Sleep Onset (minutes),MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,timebedm5,Time In Bed (minutes .5),MESA,Exam 5,Measured,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,time_bed5,Calculated - Time In Bed (minutes),MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardrbp5,"Cent. Apnea Per Hour (REM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardrop5,"Cent. Apnea Per Hour (REM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnbp5,"Cent. Apnea Per Hour (NREM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnop5,"Cent. Apnea Per Hour (NREM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardrba5,"Cent. Apnea Per Hour W/ Arousals (REM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardroa5,"Cent. Apnea Per Hour W/ Arousals (REM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnba5,"Cent. Apnea Per Hour W/ Arousals (NREM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa5,"Cent. Apnea Per Hour W/ Arousals (NREM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardrba35,"Cent. Apnea Per Hour W/ Arousals (REM, Back, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardroa35,"Cent. Apnea Per Hour W/ Arousals (REM, Other, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnba35,"Cent. Apnea Per Hour W/ Arousals (NREM, Back, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
