category,display_name,id,sof,definition,source,time,method,formula,equipment,link
05 - Medications,Nicotinic Acid,nicotinicacid,,,,,,,,
05 - Medications,Nitrate Vasodilator,nitrated,,,,,,,,
05 - Medications,Nonergot Dopamine Agonist,nonergotdopam,,,,,,,,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,,,,,,,,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,,,,,,,,
05 - Medications,Platelet Aggregation Inhibitor,plateletedagginh,,,,,,,,
05 - Medications,Potassium Salt,potassiumsalt,,,,,,,,
05 - Medications,Potassium-sparing Diuretic,potassiumspardiur,,,,,,,,
05 - Medications,Progestin,progestin,,,,,,,,
05 - Medications,Proton Pump Inhibitor,ppi,,,,,,,,
05 - Medications,Sulfonylurea,sulfonylurea,,,,,,,,
05 - Medications,Sympathomimetic Amine Anorectic,sympathanorect,,,,,,,,
05 - Medications,Sympathomimetic-like Agent,sympathagent,,,,,,,,
05 - Medications,Thiazide Diuretic,thiazide,,,,,,,,
05 - Medications,Thiazolidinedione,tzd,,,,,,,,
05 - Medications,Tricyclic Antidepressant,tca,,,,,,,,
05 - Medications,Typical Antipsychotic,typicalantipsychot,,,,,,,,
05 - Medications,Unfractionated Heparin,unfractheparin,,,,,,,,
05 - Medications,Vasodilator,vasodilator,,,,,,,,
05 - Medications,Xanthine Oxidase Inhibitor,xanthoxidinh,,,,,,,,
06 - Health Habits,Alcohol consumption,alcohol,,,,,,,,
06 - Health Habits,Self reported bed time,selfrepbedtime,,,,,,,,
06 - Health Habits,Self reported wake time,selfrepwaketime,,,,,,,,
06 - Health Habits,Self reported sleep duration,selfrepsleepduration,,,,,,,,
06 - Health Habits,Smoking status,smoking,,,,,,,,
06 - Health Habits,Pack years,packyears,,,,,,,,
06 - Health Habits,Caffeine intake,caffeineintake,,,,,,,,
07 - Laboratory Data,Fasting glucose,fastingglucose,,,,,,,,
07 - Laboratory Data,Fasting insulin,fastinginsulin,,,,,,,,
07 - Laboratory Data,HDL cholesterol,hdlchol,,,,,,,,
07 - Laboratory Data,LDL cholesterol,ldlchol,,,,,,,,
07 - Laboratory Data,Total cholesterol,totalchol,,,,,,,,
07 - Laboratory Data,Triglycerides,triglyc,,,,,,,,
07 - Laboratory Data,Hemoglobin A1c,hba1c,,,,,,,,
07 - Laboratory Data,Creatinine,creatinine,,,,,,,,
07 - Laboratory Data,Creatinine clearance,creatinineclear,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type I,type1sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type II,type2sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type III,type3sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type IV,type4sleepstudy,,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Laboratory,labsleepstudy,,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Home,homesleepstudy,,,,,,,,
08B - Sleep Study Data - Time,Duration of sleep study,sleepstudyduration,,,,,,,,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,slp_rdi,Sleep time used in calculations,SOF,Visit 8,Calculated,slp_rdi = slp_rdi = slpprdp/60,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,slpprdp,Sleep Time,SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,slptime,Total Sleep Time,SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,slp_eff,Sleep Efficiency,SOF,Visit 8,Calculated,slp_eff = 100 * ( slpprdp ) / timebedp,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,slpeffp,PSG Report: Sleep Efficiency,SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08B - Sleep Study Data - Time,Sleep fragmentation index,sleepfragmentindex,,,,,,,,
08B - Sleep Study Data - Time,Sleep maintenance efficiency,sleepmaintefficiency,,,,,,,,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,slplatp,PSG Report: Sleep Latency,SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08B - Sleep Study Data - Time,Time awake after sleep onset,timeawakeaftersleep,,,,,,,,
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,timebedp,Time in bed,SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba,"Number of Central Apnea w/ arousals (NREM, Back, all oxygen desaturations)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba2,"Number of Central Apnea w/ arousals (NREM, Back, 2% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba3,"Number of Central Apnea w/ arousals (NREM, Back, 3% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba4,"Number of Central Apnea w/ arousals (NREM, Back, 4% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canba5,"Number of Central Apnea w/ arousals (NREM, Back, 5% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canbp,"Number of Central Apnea (NREM, Back, all oxygen desaturations)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canbp2,"Number of Central Apnea (NREM, Back, 2% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canbp3,"Number of Central Apnea (NREM, Back, 3% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canbp4,"Number of Central Apnea (NREM, Back, 4% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canbp5,"Number of Central Apnea (NREM, Back, 5% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canoa,"Number of Central Apnea w/ arousals (NREM, Other, all oxygen desaturations)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canoa2,"Number of Central Apnea w/ arousals (NREM, Other, 2% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canoa3,"Number of Central Apnea w/ arousals (NREM, Other, 3% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canoa4,"Number of Central Apnea w/ arousals (NREM, Other, 4% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canoa5,"Number of Central Apnea w/ arousals (NREM, Other, 5% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canop,"Number of Central Apnea (NREM, Other, all oxygen desaturations)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canop2,"Number of Central Apnea (NREM, Other, 2% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canop3,"Number of Central Apnea (NREM, Other, 3% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canop4,"Number of Central Apnea (NREM, Other, 4% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,canop5,"Number of Central Apnea (NREM, Other, 5% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carba,"Number of Central Apnea w/ arousals (REM, Back, all oxygen desaturations)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carba2,"Number of Central Apnea w/ arousals (REM, Back, 2% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carba3,"Number of Central Apnea w/ arousals (REM, Back, 3% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carba4,"Number of Central Apnea w/ arousals (REM, Back, 4% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carba5,"Number of Central Apnea w/ arousals (REM, Back, 5% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carbp,"Number of Central Apnea (REM, Back, all oxygen desaturations)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carbp2,"Number of Central Apnea (REM, Back, 2% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carbp3,"Number of Central Apnea (REM, Back, 3% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carbp4,"Number of Central Apnea (REM, Back, 4% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carbp5,"Number of Central Apnea (REM, Back, 5% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,caroa,"Number of Central Apnea w/ arousals (REM, Other, all oxygen desaturations)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,caroa2,"Number of Central Apnea w/ arousals (REM, Other, 2% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,caroa3,"Number of Central Apnea w/ arousals (REM, Other, 3% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,caroa4,"Number of Central Apnea w/ arousals (REM, Other, 4% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,caroa5,"Number of Central Apnea w/ arousals (REM, Other, 5% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carop,"Number of Central Apnea (REM, Other, all oxygen desaturations)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carop2,"Number of Central Apnea (REM, Other, 2% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carop3,"Number of Central Apnea (REM, Other, 3% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carop4,"Number of Central Apnea (REM, Other, 4% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,carop5,"Number of Central Apnea (REM, Other, 5% oxygen desaturation)",SOF,Visit 8,Measured,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnbp,"Central Apnea per hour (NREM, Back, all oxygen desaturations)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnbp2,"Central Apnea per hour (NREM, Back, 2% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnbp3,"Central Apnea per hour (NREM, Back, 3% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnbp4,"Central Apnea per hour (NREM, Back, 4% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnbp5,"Central Apnea per hour (NREM, Back, 5% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa,"Central Apnea per hour w/ arousals (NREM, Other, all oxygen desaturations)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa2,"Central Apnea per hour w/ arousals (NREM, Other, 2% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa3,"Central Apnea per hour w/ arousals (NREM, Other, 3% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa4,"Central Apnea per hour w/ arousals (NREM, Other, 4% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa5,"Central Apnea per hour w/ arousals (NREM, Other, 5% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnop,"Central Apnea per hour (NREM, Other, all oxygen desaturations)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnop2,"Central Apnea per hour (NREM, Other, 2% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnop3,"Central Apnea per hour (NREM, Other, 3% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnop4,"Central Apnea per hour (NREM, Other, 4% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnop5,"Central Apnea per hour (NREM, Other, 5% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardrba,"Central Apnea per hour w/ arousals (REM, Back, all oxygen desaturations)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardrba2,"Central Apnea per hour w/ arousals (REM, Back, 2% oxygen desaturation)",SOF,Visit 8,Calculated,,PSG recording system: Compumedics Siesta unit; PSG scoring software: Compumedics ProFusion PSG 1 ,
